window:30.0	alpha:0.2	knn:6.0	
time	StdDev	source	Datapoint Type	Datapoint Y	Datapoint X	power	Neighbores	destination	Datapoint	Neighbore(1) Distance	Neighbore(1) Type	Neighbore(1) X	Neighbore(1) Y	Neighbore(2) Distance	Neighbore(2) Y	Neighbore(2) X	Neighbore(2) Type	Neighbore(3) Type	Neighbore(3) Y	Neighbore(3) Distance	Neighbore(3) X	Neighbore(4) Y	Neighbore(4) X	Neighbore(4) Distance	Neighbore(4) Type	Neighbore(5) Distance	Neighbore(5) Type	Neighbore(5) X	Neighbore(5) Y	KNNTotalMissfired	KNNStateWeight	KNNState	KNNStateMissfired	Neighbore(6) Type	Neighbore(6) Distance	KNNConfidence	Neighbore(6) Y	Neighbore(6) X	null	
315488533	33,984	7,0	Current	33,984	-16,366	-16,366	[Empty,-13.453465346534658,2.672102427883886,31.447922093516695, Empty,-13.442574257425735,2.663484504916509,31.457513468086475, Empty,-13.508580858085804,2.655295350775062,31.45960185536536, Empty,-13.486798679867988,2.6025449134143672,31.514117579892762, Empty,-13.343564356435628,2.559063511307143,31.570810796982332, Empty,-13.101980198019799,2.5427895854502958,31.611046006234094]	1,0	Current,-16.366666666666667,33.984800524155894	31,447	Empty	-13,453	2,672	31,457	2,6630000000000003	-13,442	Empty	Empty	2,6550000000000002	31,459	-13,508000000000001	2,602	-13,486	31,514	Empty	31,57	Empty	-13,343	2,559	0,0	not set	Empty	not set	Empty	31,611	1,0	2,5420000000000003	-13,101	not set	
67770345915	33,988	7,0	Current	33,988	-13,6	-13,6	[Moving-Top,-15.492079207920792,24.744385468617374,9.43550134769007, Moving-Top,-14.433993399339938,24.58325154705429,9.441886780368941, Moving-Top,-15.498679867986795,23.64908338611732,10.512040968065332, Moving-Top,-15.246864686468655,22.225681032423452,11.877280755917075, Moving-Top,-17.508580858085804,21.808616737670015,12.791405822129638, Moving-Top,-14.374587458745873,19.31065928688679,14.69799861915399]	1,0	Current,-13.6,33.988233257996804	9,435	Moving-Top	-15,492	24,744	9,441	24,583000000000002	-14,433	Moving-Top	Moving-Top	23,649	10,512	-15,498000000000001	22,225	-15,246	11,877	Moving-Top	12,791	Moving-Top	-17,508	21,808	0,0	not set	Moving-Top	not set	Moving-Top	14,697000000000001	1,0	19,31	-14,374	not set	
25596888297	1,366	7,0	Current	1,366	-14,933	-14,933	[Standing-Top,-15.606270627062711,2.420450860333275,1.2506649255405482, Empty,-13.738613861386138,2.379403226323077,1.5664653225506318, Empty,-13.602310231023104,2.399649245210698,1.6850862351597478, Empty,-13.179537953795387,1.9921150169122572,1.8621204600262373, Empty,-13.303960396039596,2.285424505217952,1.8707536900118702, Empty,-13.170297029702967,2.0090328533207757,1.876553707623266]	1,0	Current,-14.933333333333334,1.3662601021279464	1,25	Standing-Top	-15,606	2,42	1,566	2,379	-13,738	Empty	Empty	2,399	1,685	-13,602	1,992	-13,179	1,862	Empty	1,87	Empty	-13,303	2,285	0,0	not set	Empty	not set	Empty	1,8760000000000001	0,833	2,009	-13,17	not set	
21842100309	1,861	7,0	Current	1,861	-13,133000000000001	-13,133000000000001	[Empty,-13.179537953795387,1.9921150169122572,0.13817077586623278, Empty,-13.170297029702967,2.0090328533207757,0.1517062359112652, Empty,-13.200990099009907,2.2162586220651472,0.36076087897087683, Empty,-13.303960396039596,2.285424505217952,0.4566045614150864, Empty,-13.101980198019799,2.5427895854502958,0.6816123931009754, Empty,-13.602310231023104,2.399649245210698,0.7135229561932055]	1,0	Current,-13.133333333333333,1.8618986725025242	0,138	Empty	-13,179	1,992	0,151	2,009	-13,17	Empty	Empty	2,216	0,36	-13,200000000000001	2,285	-13,303	0,456	Empty	0,681	Empty	-13,101	2,5420000000000003	0,0	not set	Empty	not set	Empty	0,713	1,0	2,399	-13,602	not set	
57284763464	2,6830000000000003	7,0	Current	2,6830000000000003	-9,6	-9,6	[Standing-Bottum,-9.684158415841582,3.2301334978867926,0.5532898577686305, Standing-Bottum,-9.73036303630363,3.3863268402746027,0.7150294882533691, Standing-Bottum,-9.831023102310235,1.5258811125095648,1.1802319686163105, Standing-Bottum,-10.098349834983496,4.280900208784068,1.6735405174161255, Standing-Bottum,-11.426072607260723,5.031766906971468,2.974882271766101, Empty,-13.101980198019799,2.5427895854502958,3.5047971847010473]	1,0	Current,-9.6,2.6832815729997472	0,553	Standing-Bottum	-9,684000000000001	3,23	0,715	3,386	-9,73	Standing-Bottum	Standing-Bottum	1,5250000000000001	1,18	-9,831	4,28	-10,098	1,673	Standing-Bottum	2,974	Standing-Bottum	-11,426	5,031	0,0	not set	Standing-Bottum	not set	Empty	3,504	0,833	2,5420000000000003	-13,101	not set	
37099902660	2,714	7,0	Current	2,714	-15,433	-15,433	[Standing-Top,-15.606270627062711,2.420450860333275,0.3408410188683945, Standing-Top,-15.150495049504963,2.356625649189239,0.4558822122923309, Standing-Top,-14.93168316831682,1.3067763967430144,1.4941159979612764, Empty,-13.738613861386138,2.379403226323077,1.7274653260368258, Empty,-13.602310231023104,2.399649245210698,1.8578382239828088, Empty,-13.508580858085804,2.655295350775062,1.9256524049706363]	1,0	Current,-15.433333333333334,2.714160398109637	0,34	Standing-Top	-15,606	2,42	0,455	2,356	-15,15	Standing-Top	Standing-Top	1,306	1,494	-14,931000000000001	2,379	-13,738	1,727	Empty	1,857	Empty	-13,602	2,399	0,0	not set	Empty	not set	Empty	1,925	0,5	2,6550000000000002	-13,508000000000001	not set	
76650811705	8,908	7,0	Current	8,908	-10,766	-10,766	[Moving-Top,-11.428382838283829,9.138412148782407,0.700422257834356, Standing-Bottum,-10.56303630363036,9.970140002731252,1.0807006870459968, Standing-Bottum,-11.363696369636962,7.064588983724329,1.9384396374914992, Standing-Bottum,-10.399009900990102,6.434424760861151,2.501537571049906, Standing-Bottum,-12.785148514851494,6.9583273729986415,2.806884629609881, Standing-Bottum,-9.614521452145214,6.263537514834075,2.885279385918711]	1,0	Current,-10.766666666666667,8.908797150382686	0,7000000000000001	Moving-Top	-11,428	9,138	1,08	9,97	-10,563	Standing-Bottum	Standing-Bottum	7,064	1,938	-11,363	6,434	-10,399000000000001	2,501	Standing-Bottum	2,806	Standing-Bottum	-12,785	6,958	0,0	not set	Standing-Bottum	not set	Standing-Bottum	2,8850000000000002	0,833	6,263	-9,614	not set	
80222193670	3,391	7,0	Current	3,391	-15,5	-15,5	[Standing-Top,-15.547854785478549,2.8543832661473747,0.5389106616434498, Standing-Top,-15.606270627062711,2.420450860333275,0.9765138866112817, Standing-Top,-16.154785478547847,2.6037320345921215,1.0241067740428524, Standing-Top,-15.150495049504963,2.356625649189239,1.0919823081620483, Standing-Top,-14.192739273927389,3.7563352411089674,1.3573061250453495, Standing-Top,-15.00858085808581,2.1030726977855547,1.3786495313630567]	1,0	Current,-15.5,3.391164991562634	0,538	Standing-Top	-15,547	2,854	0,976	2,42	-15,606	Standing-Top	Standing-Top	2,603	1,024	-16,154	2,356	-15,15	1,091	Standing-Top	1,357	Standing-Top	-14,192	3,7560000000000002	0,0	not set	Standing-Top	not set	Standing-Top	1,3780000000000001	1,0	2,103	-15,008000000000001	not set	
62303873377	13,544	7,0	Current	13,544	-11,466000000000001	-11,466000000000001	[Standing-Top,-16.144884488448838,12.85820888521395,4.728359742498277, Standing-Bottum,-12.641254125412546,6.630992248652764,7.013057533897781, Standing-Bottum,-10.399009900990102,6.434424760861151,7.190270029030654, Standing-Bottum,-9.614521452145214,6.263537514834075,7.513317854806334, Standing-Bottum,-11.426072607260723,5.031766906971468,8.513316648413442, Standing-Bottum,-10.098349834983496,4.280900208784068,9.364592399646915]	1,0	Current,-11.466666666666667,13.544986772480312	4,728	Standing-Top	-16,144000000000002	12,858	7,013	6,63	-12,641	Standing-Bottum	Standing-Bottum	6,434	7,19	-10,399000000000001	6,263	-9,614	7,513	Standing-Bottum	8,513	Standing-Bottum	-11,426	5,031	0,0	not set	Standing-Bottum	not set	Standing-Bottum	9,364	0,833	4,28	-10,098	not set	
18876588151	1,366	7,0	Current	1,366	-16,933	-16,933	[Standing-Top,-17.021122112211224,0.39635139170513445,0.9738735935689565, Standing-Top,-15.606270627062711,2.420450860333275,1.6948196308338634, Empty,-13.738613861386138,2.379403226323077,3.351520773401597, Empty,-13.602310231023104,2.399649245210698,3.48763645312492, Empty,-13.508580858085804,2.655295350775062,3.6593088676646053, Empty,-13.486798679867988,2.6025449134143672,3.661557216834798]	1,0	Current,-16.933333333333334,1.3662601021279464	0,973	Standing-Top	-17,021	0,396	1,694	2,42	-15,606	Standing-Top	Empty	2,379	3,351	-13,738	2,399	-13,602	3,487	Empty	3,6590000000000003	Empty	-13,508000000000001	2,6550000000000002	0,0	not set	Empty	not set	Empty	3,661	0,666	2,602	-13,486	not set	
