window:30.0	alpha:0.2	knn:6.0	
time	StdDev	source	Datapoint Type	Datapoint Y	Datapoint X	power	Neighbores	destination	Datapoint	Neighbore(1) Distance	Neighbore(1) Type	Neighbore(1) X	Neighbore(1) Y	Neighbore(2) Distance	Neighbore(2) Y	Neighbore(2) X	Neighbore(2) Type	Neighbore(3) Type	Neighbore(3) Y	Neighbore(3) Distance	Neighbore(3) X	Neighbore(4) Y	Neighbore(4) X	Neighbore(4) Distance	Neighbore(4) Type	Neighbore(5) Distance	Neighbore(5) Type	Neighbore(5) X	Neighbore(5) Y	KNNTotalMissfired	KNNStateWeight	KNNState	KNNStateMissfired	Neighbore(6) Type	Neighbore(6) Distance	KNNConfidence	Neighbore(6) Y	Neighbore(6) X	null	
30524959234	6,949	7,0	Current	6,949	-2,7	-2,7	[Empty,-2.7217821782178206,6.91604185646354,0.04019248476780359, Empty,-2.8320132013201325,7.096861864262695,0.19760757459891223, Empty,-2.815841584158419,7.251529709943186,0.3231840594394064, Empty,-2.900990099009901,7.374868954829392,0.47017391842141526]	3,0	Current,-2.7,6.949820141557624	0,04	Empty	-2,721	6,916	0,197	7,096	-2,832	Empty	Empty	7,251	0,323	-2,815	7,3740000000000006	-2,9	0,47000000000000003	Empty	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	
71044109410	7,12	7,0	Current	7,12	-2,1	-2,1	[Standing-Bottum,-1.623432343234322,6.884070951357285,0.5319445075955168, Empty,-2.7118811881188094,6.968645414283566,0.6304173167671959, Empty,-2.718811881188118,6.986255934798439,0.6331831985897849, Empty,-2.7217821782178206,6.91604185646354,0.654501770964206, Empty,-2.6541254125412546,6.749848934234745,0.6666018759102065, Empty,-2.7788778877887803,6.906780785547589,0.7116919772335628]	3,0	Current,-2.1,7.12039324756716	0,531	Standing-Bottum	-1,623	6,884	0,63	6,968	-2,711	Empty	Empty	6,986	0,633	-2,718	6,916	-2,721	0,654	Empty	0,666	Empty	-2,654	6,7490000000000006	0,0	not set	Empty	not set	Empty	0,711	0,833	6,906000000000001	-2,778	not set	
19968447179	11,016	7,0	Current	11,016	-4,766	-4,766	[Moving-Top,-4.768976897689771,11.139643345796392,0.12301098207649637, Moving-Top,-4.606270627062707,10.97477721011478,0.16577261545547514, Moving-Top,-4.583168316831683,11.545041152889572,0.5593429760480937, Moving-Top,-4.6831683168316856,10.419333500889048,0.6031283645815163, Moving-Bottum,-4.693069306930694,11.675967480080317,0.6634084397407756, Moving-Bottum,-4.896369636963698,11.821060789175913,0.8147963225580042]	3,0	Current,-4.766666666666667,11.016654059498585	0,123	Moving-Top	-4,768	11,139	0,165	10,974	-4,606	Moving-Top	Moving-Top	11,545	0,559	-4,583	10,419	-4,683	0,603	Moving-Top	0,663	Moving-Bottum	-4,6930000000000005	11,675	0,0	not set	Moving-Top	not set	Moving-Bottum	0,8140000000000001	0,666	11,821	-4,896	not set	
58795884811	7,58	7,0	Current	7,58	-10,533	-10,533	[Standing-Top,-5.784488448844888,4.96797486382577,5.4201237241206375, Standing-Top,-5.184158415841584,6.1121756564266,5.547086537410256, Moving-Bottum,-6.583498349834983,11.477980937683807,5.5488893388343135, Standing-Top,-5.147524752475246,5.97178224087307,5.620985414373604, Standing-Top,-5.825742574257425,4.4622436616154495,5.646772390405801, Moving-Top,-5.024752475247524,8.953693521780355,5.677115193125281]	3,0	Current,-10.533333333333333,7.5806771905065755	5,42	Standing-Top	-5,784	4,9670000000000005	5,547	6,112	-5,184	Standing-Top	Moving-Bottum	11,477	5,548	-6,583	5,971	-5,147	5,62	Standing-Top	5,646	Standing-Top	-5,825	4,462	0,0	not set	Standing-Top	not set	Moving-Top	5,6770000000000005	0,666	8,953	-5,024	not set	
56493580490	6,123	7,0	Current	6,123	-2,5	-2,5	[Empty,-2.6541254125412546,6.749848934234745,0.6448151898498227, Empty,-2.7217821782178206,6.91604185646354,0.8227723589169968, Empty,-2.7118811881188094,6.968645414283566,0.8710827922711386, Empty,-2.8320132013201325,7.096861864262695,1.0282165987641634, Empty,-2.815841584158419,7.251529709943186,1.1711963202238396, Empty,-2.8712871287128703,7.275475423973131,1.2101176192083427]	3,0	Current,-2.5,6.123724356957945	0,644	Empty	-2,654	6,7490000000000006	0,8220000000000001	6,916	-2,721	Empty	Empty	6,968	0,871	-2,711	7,096	-2,832	1,028	Empty	1,171	Empty	-2,815	7,251	0,0	not set	Empty	not set	Empty	1,21	1,0	7,275	-2,871	not set	
61076413009	3,286	7,0	Current	3,286	-5,8	-5,8	[Standing-Top,-5.726402640264034,3.773111723024754,0.492308656772178, Standing-Top,-5.68217821782178,3.891616507627883,0.6166419205262401, Standing-Top,-6.182838283828373,3.8680934115253844,0.696424869957946, Standing-Top,-5.825742574257425,4.4622436616154495,1.1761900565562864, Standing-Top,-5.619801980198017,4.51108760405368,1.2379375680226046, Standing-Top,-5.784488448844888,4.96797486382577,1.6817110570462315]	3,0	Current,-5.8,3.286335345030997	0,492	Standing-Top	-5,726	3,773	0,616	3,891	-5,682	Standing-Top	Standing-Top	3,868	0,6960000000000001	-6,182	4,462	-5,825	1,176	Standing-Top	1,237	Standing-Top	-5,619	4,511	0,0	not set	Standing-Top	not set	Standing-Top	1,681	1,0	4,9670000000000005	-5,784	not set	
40482952359	4,412	7,0	Current	4,412	-5,8660000000000005	-5,8660000000000005	[Standing-Top,-5.784488448844888,4.96797486382577,0.5619119609466569, Standing-Top,-5.726402640264034,3.773111723024754,0.6542062713378725, Standing-Top,-5.147524752475246,5.97178224087307,1.7174864059123205, Standing-Top,-5.184158415841584,6.1121756564266,1.8319550317353492, Standing-Top,-4.757095709570959,6.561518967180623,2.4189109106607907, Standing-Top,-4.176897689768977,7.233477012184596,3.288686926044155]	3,0	Current,-5.866666666666666,4.412104562073146	0,561	Standing-Top	-5,784	4,9670000000000005	0,654	3,773	-5,726	Standing-Top	Standing-Top	5,971	1,717	-5,147	6,112	-5,184	1,831	Standing-Top	2,418	Standing-Top	-4,757	6,561	0,0	not set	Standing-Top	not set	Standing-Top	3,2880000000000003	1,0	7,2330000000000005	-4,176	not set	
16759128648	5,2780000000000005	7,0	Current	5,2780000000000005	-2,733	-2,733	[Standing-Bottum,-2.3580858085808587,4.7671677567221,0.634562134281013, Empty,-2.5514851485148524,6.195046726827308,0.9340311347051637, Standing-Bottum,-2.8673267326732645,6.276535633952398,1.006604933586681, Standing-Bottum,-2.334983498349833,4.264090719291176,1.090182406169046, Empty,-2.843894389438944,6.654623020729335,1.3801697252075253, Empty,-2.6541254125412546,6.749848934234745,1.4730912034670187]	3,0	Current,-2.7333333333333334,5.278888771954438	0,634	Standing-Bottum	-2,358	4,767	0,934	6,195	-2,551	Empty	Standing-Bottum	6,276	1,006	-2,867	4,264	-2,334	1,09	Standing-Bottum	1,3800000000000001	Empty	-2,843	6,654	0,0	not set	Empty	not set	Empty	1,473	0,5	6,7490000000000006	-2,654	not set	
59048320400	4,966	7,0	Current	4,966	-1,666	-1,666	[Standing-Bottum,-1.9564356435643584,5.041387049286038,0.29927566593503013, Standing-Bottum,-2.0125412541254133,5.336848942652549,0.5067020583888506, Standing-Bottum,-2.2003300330033015,5.064681644220685,0.5426098639371216, Standing-Bottum,-2.3580858085808587,4.7671677567221,0.719594070469907, Standing-Bottum,-2.271617161716174,5.676250662545965,0.9325413162920775, Standing-Bottum,-2.2445544554455448,5.698953091801823,0.9329316918619927]	3,0	Current,-1.6666666666666667,4.966554808583779	0,299	Standing-Bottum	-1,956	5,041	0,506	5,336	-2,012	Standing-Bottum	Standing-Bottum	5,064	0,542	-2,2	4,767	-2,358	0,719	Standing-Bottum	0,932	Standing-Bottum	-2,271	5,676	0,0	not set	Standing-Bottum	not set	Standing-Bottum	0,932	1,0	5,698	-2,244	not set	
42081108925	8,983	7,0	Current	8,983	-3,1	-3,1	[Standing-Top,-3.453795379537952,7.925316472856631,1.1155886932112449, Moving-Top,-4.142244224422441,8.462642471605891,1.1650647606601938, Standing-Top,-3.3029702970297032,7.714531813424604,1.284918287444576, Moving-Bottum,-3.651815181518152,10.232967711605593,1.3660617536205666, Moving-Top,-4.315841584158416,9.632872489708092,1.3784745040761208, Moving-Top,-4.5752475247524735,9.250818466064661,1.4993037806920395]	3,0	Current,-3.1,8.983317872590284	1,115	Standing-Top	-3,4530000000000003	7,925	1,165	8,462	-4,142	Moving-Top	Standing-Top	7,714	1,284	-3,302	10,232000000000001	-3,6510000000000002	1,366	Moving-Bottum	1,3780000000000001	Moving-Top	-4,315	9,632	0,0	not set	Moving-Top	not set	Moving-Top	1,499	0,5	9,25	-4,575	not set	
