window:30.0	alpha:0.2	knn:6.0	
time	StdDev	source	Datapoint Type	Datapoint Y	Datapoint X	power	Neighbores	destination	Datapoint	Neighbore(1) Distance	Neighbore(1) Type	Neighbore(1) X	Neighbore(1) Y	Neighbore(2) Distance	Neighbore(2) Y	Neighbore(2) X	Neighbore(2) Type	Neighbore(3) Type	Neighbore(3) Y	Neighbore(3) Distance	Neighbore(3) X	Neighbore(4) Y	Neighbore(4) X	Neighbore(4) Distance	Neighbore(4) Type	Neighbore(5) Distance	Neighbore(5) Type	Neighbore(5) X	Neighbore(5) Y	KNNTotalMissfired	KNNStateWeight	KNNState	KNNStateMissfired	Neighbore(6) Type	Neighbore(6) Distance	KNNConfidence	Neighbore(6) Y	Neighbore(6) X	null	
44050566222	2,714	7,0	Current	2,714	-1,433	-1,433	[Standing-Top,-1.525412541254127,2.568555709308075,0.1722768293541553, Standing-Top,-1.6293729372937276,2.513503421995637,0.28052584263158864, Standing-Top,-1.1379537953795384,1.7789457210572333,0.9807525496352435, Standing-Top,-1.9405940594059417,1.5436514207538643,1.275697734687245, Empty,0.11683168316831669,2.7549157579378347,1.5507006731604545, Empty,0.12409240924092396,2.459384883213008,1.5781272149683685]	5,0	Current,-1.4333333333333333,2.714160398109638	0,17200000000000001	Standing-Top	-1,5250000000000001	2,568	0,28	2,513	-1,629	Standing-Top	Standing-Top	1,778	0,98	-1,137	1,543	-1,94	1,2750000000000001	Standing-Top	1,55	Empty	0,116	2,754	0,0	not set	Standing-Top	not set	Empty	1,578	0,666	2,459	0,124	not set	
16113030622	2,338	7,0	Current	2,338	0,133	0,133	[Empty,0.10132013201320124,2.2395201971985457,0.10363844726176466, Empty,0.07161716171617151,1.8570194123976311,0.4850135774099991]	5,0	Current,0.13333333333333333,2.3380903889000244	0,10300000000000001	Empty	0,101	2,239	0,485	1,857	0,07100000000000001	Empty	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	
51320846413	0,983	7,0	Current	0,983	0,033	0,033	[Empty,0.06237623762376242,1.3591877723790655,0.3771156994731278, Empty,0.10561056105610553,1.822587151290538,0.8425010877940429, Empty,0.09108910891089113,1.838807323543091,0.8575623441871507, Empty,0.07161716171617151,1.8570194123976311,0.8746655691883539, Empty,0.11089108910891074,2.10168293370867,1.1211766117571562, Empty,0.10132013201320124,2.2395201971985457,1.2581663412402095]	5,0	Current,0.03333333333333333,0.983192080250175	0,377	Empty	0,062	1,359	0,842	1,822	0,105	Empty	Empty	1,838	0,857	0,091	1,857	0,07100000000000001	0,874	Empty	1,121	Empty	0,11	2,101	0,0	not set	Empty	not set	Empty	1,258	1,0	2,239	0,101	not set	
2618460739	7,3950000000000005	7,0	Current	7,3950000000000005	-2,1	-2,1	[Standing-Bottum,-3.387788778877886,7.815920902512572,1.3545404521169961, Standing-Bottum,-3.7785478547854807,6.547419060066412,1.8808293094431658, Standing-Bottum,-4.086138613861384,6.435149771987907,2.206325847709859, Standing-Bottum,-3.671287128712873,5.7421639386217205,2.28121338185538, Standing-Bottum,-3.9739273927392733,5.9474989222644945,2.368459295600408, Standing-Bottum,-4.26996699669967,6.078156646704335,2.538763966097731]	5,0	Current,-2.1,7.395944834840235	1,354	Standing-Bottum	-3,387	7,815	1,8800000000000001	6,547	-3,778	Standing-Bottum	Standing-Bottum	6,4350000000000005	2,206	-4,086	5,742	-3,6710000000000003	2,281	Standing-Bottum	2,368	Standing-Bottum	-3,973	5,947	0,0	not set	Standing-Bottum	not set	Standing-Bottum	2,5380000000000003	1,0	6,078	-4,269	not set	
38104442855	10,327	7,0	Current	10,327	-2,666	-2,666	[Moving-Bottum,-2.7188118811881186,11.080277923501457,0.7541273215136992, Moving-Bottum,-2.530693069306931,11.91101689886505,1.5888901557892547, Moving-Bottum,-2.3128712871287127,11.897784679803474,1.6092030767221803, Moving-Top,-2.3158415841584152,8.705015655939324,1.6604253273535692, Moving-Top,-2.30957095709571,8.586657433370346,1.7775366706991862, Moving-Top,-2.0564356435643574,8.080796293483493,2.3285417765130823]	5,0	Current,-2.6666666666666665,10.327955589886445	0,754	Moving-Bottum	-2,718	11,08	1,588	11,911	-2,5300000000000002	Moving-Bottum	Moving-Bottum	11,897	1,609	-2,312	8,705	-2,315	1,6600000000000001	Moving-Top	1,7770000000000001	Moving-Top	-2,309	8,586	0,0	not set	Moving-Top	not set	Moving-Top	2,328	0,5	8,08	-2,056	not set	
56625424978	0,0	7,0	Current	0,0	-2,0	-2,0	[Standing-Top,-2.0,0.0,0.0, Standing-Top,-2.0,0.0,0.0, Standing-Top,-1.9973597359735975,0.07787660041585545,0.07792134422903607, Standing-Top,-1.9924092409240926,0.12960695955293347,0.1298290552530681, Standing-Top,-1.9405940594059417,1.5436514207538643,1.5447940880820619, Standing-Top,-1.1379537953795384,1.7789457210572333,1.9768084220197926]	5,0	Current,-2.0,0.0	0,0	Standing-Top	-2,0	0,0	0,0	0,0	-2,0	Standing-Top	Standing-Top	0,077	0,077	-1,997	0,129	-1,992	0,129	Standing-Top	1,544	Standing-Top	-1,94	1,543	0,0	not set	Standing-Top	not set	Standing-Top	1,976	1,0	1,778	-1,137	not set	
57090810426	11,378	7,0	Current	11,378	-1,133	-1,133	[Moving-Bottum,-2.3128712871287127,11.897784679803474,1.2888485101632692, Moving-Bottum,-2.530693069306931,11.91101689886505,1.495445344941981, Moving-Bottum,-2.7188118811881186,11.080277923501457,1.6132527450298881, Moving-Top,-2.3158415841584152,8.705015655939324,2.923183111708618, Moving-Top,-2.30957095709571,8.586657433370346,3.029362584199641, Moving-Bottum,-3.8587458745874557,13.221115913895124,3.2899375705520093]	5,0	Current,-1.1333333333333333,11.378341999899051	1,288	Moving-Bottum	-2,312	11,897	1,495	11,911	-2,5300000000000002	Moving-Bottum	Moving-Bottum	11,08	1,613	-2,718	8,705	-2,315	2,923	Moving-Top	3,029	Moving-Top	-2,309	8,586	0,0	not set	Moving-Bottum	not set	Moving-Bottum	3,289	0,666	13,221	-3,858	not set	
58258790560	5,955	7,0	Current	5,955	-1,133	-1,133	[Moving-Top,-1.170627062706271,5.513598726442153,0.4433622677894621, Moving-Top,-1.6250825082508245,5.979252942688785,0.4923278426324685, Moving-Top,-1.3887788778877883,6.399130621375705,0.5120140794381628, Moving-Top,-1.6795379537953778,6.0863966419294435,0.5616959160582755, Moving-Top,-1.6640264026402651,5.199635953272663,0.9234711058474857, Moving-Top,-1.716171617161715,6.946860632506981,1.1500934935198446]	5,0	Current,-1.1333333333333333,5.955389715767278	0,443	Moving-Top	-1,17	5,513	0,492	5,979	-1,625	Moving-Top	Moving-Top	6,399	0,512	-1,3880000000000001	6,086	-1,679	0,561	Moving-Top	0,923	Moving-Top	-1,6640000000000001	5,199	0,0	not set	Moving-Top	not set	Moving-Top	1,1500000000000001	1,0	6,946	-1,716	not set	
39721519865	4,844	7,0	Current	4,844	-5,466	-5,466	[Standing-Bottum,-5.582838283828383,4.780093716519182,0.13270517323606046, Standing-Bottum,-5.707590759075902,4.680730832333308,0.2911697983802328, Standing-Bottum,-5.65808580858086,4.387551022206882,0.49518342844743923, Standing-Bottum,-5.5841584158415865,4.356899750575702,0.5013036824565653, Standing-Bottum,-5.6683168316831685,3.9155014798788637,0.9503783878924443, Standing-Bottum,-5.750825082508248,3.8343900837305345,1.0490681593473317]	5,0	Current,-5.466666666666667,4.844240566555988	0,132	Standing-Bottum	-5,582	4,78	0,291	4,68	-5,707	Standing-Bottum	Standing-Bottum	4,3870000000000005	0,495	-5,658	4,356	-5,5840000000000005	0,501	Standing-Bottum	0,9500000000000001	Standing-Bottum	-5,668	3,915	0,0	not set	Standing-Bottum	not set	Standing-Bottum	1,049	1,0	3,834	-5,75	not set	
81385322758	0,983	7,0	Current	0,983	-1,966	-1,966	[Standing-Top,-1.937293729372938,0.603150418681395,0.3811750699786392, Standing-Top,-1.9339933993399339,0.585642325748646,0.3988901474115776, Standing-Top,-1.9405940594059417,1.5436514207538643,0.5610654624972048, Standing-Top,-1.8693069306930696,1.6887208784343342,0.7122147171015442, Standing-Top,-1.9920792079207925,0.13714481079194665,0.8464288389526415, Standing-Top,-1.9924092409240926,0.12960695955293347,0.8539732070768518]	5,0	Current,-1.9666666666666666,0.983192080250175	0,381	Standing-Top	-1,937	0,603	0,398	0,585	-1,933	Standing-Top	Standing-Top	1,543	0,561	-1,94	1,688	-1,869	0,712	Standing-Top	0,846	Standing-Top	-1,992	0,137	0,0	not set	Standing-Top	not set	Standing-Top	0,853	1,0	0,129	-1,992	not set	
35395264058	0,0	7,0	Current	0,0	-2,0	-2,0	[Standing-Top,-2.0,0.0,0.0, Standing-Top,-1.9924092409240926,0.12960695955293347,0.1298290552530681, Standing-Top,-1.9405940594059417,1.5436514207538643,1.5447940880820619, Standing-Top,-1.1379537953795384,1.7789457210572333,1.9768084220197926, Empty,0.061386138613861316,1.3283570979264394,2.4523142930874333, Empty,0.06237623762376242,1.3591877723790655,2.469977154975307]	5,0	Current,-2.0,0.0	0,0	Standing-Top	-2,0	0,0	0,129	0,129	-1,992	Standing-Top	Standing-Top	1,543	1,544	-1,94	1,778	-1,137	1,976	Standing-Top	2,452	Empty	0,061	1,328	0,0	not set	Standing-Top	not set	Empty	2,469	0,666	1,359	0,062	not set	
39003178374	0,0	7,0	Current	0,0	-2,0	-2,0	[Standing-Top,-2.0,0.0,0.0, Standing-Top,-1.9924092409240926,0.12960695955293347,0.1298290552530681, Standing-Top,-1.9405940594059417,1.5436514207538643,1.5447940880820619, Standing-Top,-1.1379537953795384,1.7789457210572333,1.9768084220197926, Empty,0.061386138613861316,1.3283570979264394,2.4523142930874333, Empty,0.06237623762376242,1.3591877723790655,2.469977154975307]	5,0	Current,-2.0,0.0	0,0	Standing-Top	-2,0	0,0	0,129	0,129	-1,992	Standing-Top	Standing-Top	1,543	1,544	-1,94	1,778	-1,137	1,976	Standing-Top	2,452	Empty	0,061	1,328	0,0	not set	Standing-Top	not set	Empty	2,469	0,666	1,359	0,062	not set	
52655251837	6,1770000000000005	7,0	Current	6,1770000000000005	-3,166	-3,166	[Standing-Bottum,-3.387788778877886,7.815920902512572,1.652861033770694, Standing-Bottum,-5.329372937293732,5.6283021806167675,2.2314514542996218, Standing-Bottum,-5.374917491749176,5.318174572693891,2.3697109296312333, Standing-Top,-2.427062706270627,3.55059653754448,2.7294377298709236, Standing-Top,-0.8151815181518154,4.695143746215404,2.7799462037580986, Standing-Bottum,-5.582838283828383,4.780093716519182,2.7913790628507296]	5,0	Current,-3.1666666666666665,6.177917664283546	1,6520000000000001	Standing-Bottum	-3,387	7,815	2,231	5,628	-5,329	Standing-Bottum	Standing-Bottum	5,3180000000000005	2,369	-5,3740000000000006	3,5500000000000003	-2,427	2,729	Standing-Top	2,779	Standing-Top	-0,8150000000000001	4,695	0,0	not set	Standing-Bottum	not set	Standing-Bottum	2,791	0,666	4,78	-5,582	not set	
31642338212	2,857	7,0	Current	2,857	0,166	0,166	[Empty,0.11683168316831669,2.7549157579378347,0.11426261803425924, Empty,0.15973597359735978,2.5710146934823497,0.28680709208846206, Empty,0.10132013201320124,2.2395201971985457,0.6216618553520079, Empty,0.11089108910891074,2.10168293370867,0.7581096415360228, Empty,0.07161716171617151,1.8570194123976311,1.0052224462804635, Empty,0.10561056105610553,1.822587151290538,1.0369499488633258]	5,0	Current,0.16666666666666666,2.857738033247041	0,114	Empty	0,116	2,754	0,28600000000000003	2,571	0,159	Empty	Empty	2,239	0,621	0,101	2,101	0,11	0,758	Empty	1,0050000000000001	Empty	0,07100000000000001	1,857	0,0	not set	Empty	not set	Empty	1,036	1,0	1,822	0,105	not set	
