window:30.0	alpha:0.2	knn:6.0	
time	StdDev	source	Datapoint Type	Datapoint Y	Datapoint X	power	Neighbores	destination	Datapoint	Neighbore(1) Distance	Neighbore(1) Type	Neighbore(1) X	Neighbore(1) Y	Neighbore(2) Distance	Neighbore(2) Y	Neighbore(2) X	Neighbore(2) Type	Neighbore(3) Type	Neighbore(3) Y	Neighbore(3) Distance	Neighbore(3) X	Neighbore(4) Y	Neighbore(4) X	Neighbore(4) Distance	Neighbore(4) Type	Neighbore(5) Distance	Neighbore(5) Type	Neighbore(5) X	Neighbore(5) Y	KNNTotalMissfired	KNNStateWeight	KNNState	KNNStateMissfired	Neighbore(6) Type	Neighbore(6) Distance	KNNConfidence	Neighbore(6) Y	Neighbore(6) X	null	
44050566222	11,889000000000001	1,0	Current	11,889000000000001	-11,433	-11,433	[Standing-Top,-12.56435643564357,7.932051545371518,4.116158477498366, Standing-Top,-15.658415841584162,11.217367128078166,4.27825313187365, Standing-Top,-12.417161716171623,6.9860135572145,5.001475821232683, Standing-Top,-11.626072607260724,5.600192351741569,6.2925316425215145, Standing-Top,-12.822772277227724,5.0887337131947525,6.941516819355383, Standing-Top,-10.235973597359731,3.7254820616759656,8.251623634569437]	5,0	Current,-11.433333333333334,11.889771514485325	4,116	Standing-Top	-12,564	7,932	4,2780000000000005	11,217	-15,658	Standing-Top	Standing-Top	6,986	5,001	-12,417	5,6000000000000005	-11,626	6,292	Standing-Top	6,941	Standing-Top	-12,822000000000001	5,088	0,0	not set	Standing-Top	not set	Standing-Top	8,251	1,0	3,725	-10,235	not set	
16113030622	0,0	1,0	Current	0,0	-23,0	-23,0	[Empty,-23.0,0.0,0.0, Empty,-23.0,0.0,0.0]	5,0	Current,-23.0,0.0	0,0	Empty	-23,0	0,0	0,0	0,0	-23,0	Empty	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	
51320846413	2,714	1,0	Current	2,714	-21,433	-21,433	[Empty,-22.342574257425763,1.9140266845111982,1.2111701027028714, Empty,-21.909240924092416,1.540966998618058,1.2660453339247855, Empty,-22.70891089108912,2.2532422440138005,1.356297773582677, Empty,-22.74884488448845,1.9272430998553085,1.5329088281807333, Empty,-22.82937293729372,1.7676522486792172,1.6866547520948287, Empty,-22.737953795379543,1.3571247579737222,1.8824399800760596]	5,0	Current,-21.433333333333334,2.714160398109637	1,211	Empty	-22,342	1,9140000000000001	1,266	1,54	-21,909	Empty	Empty	2,253	1,356	-22,708000000000002	1,927	-22,748	1,532	Empty	1,686	Empty	-22,829	1,7670000000000001	0,0	not set	Empty	not set	Empty	1,8820000000000001	1,0	1,357	-22,737000000000002	not set	
2618460739	30,964000000000002	1,0	Current	30,964000000000002	-15,8	-15,8	[Standing-Top,-15.658415841584162,11.217367128078166,19.74763623234002, Standing-Bottum,-15.907920792079198,10.493648599588722,20.471131671257496, Standing-Top,-12.56435643564357,7.932051545371518,23.258608675238523, Standing-Top,-11.162706270627064,7.339807266797042,24.07551455961531, Standing-Top,-12.726732673267323,7.0347914566004075,24.12624549965319, Standing-Top,-15.84653465346535,6.824500555646676,24.140040094329247]	5,0	Current,-15.8,30.964495797606656	19,747	Standing-Top	-15,658	11,217	20,471	10,493	-15,907	Standing-Bottum	Standing-Top	7,932	23,258	-12,564	7,339	-11,162	24,075	Standing-Top	24,126	Standing-Top	-12,726	7,034	0,0	not set	Standing-Top	not set	Standing-Top	24,14	0,833	6,824	-15,846	not set	
38104442855	15,616	1,0	Current	15,616	-16,066	-16,066	[Moving-Top,-14.650825082508238,15.923744875555386,1.4488520467734332, Moving-Bottum,-16.539603960396043,14.236851310399269,1.458203573046483, Moving-Bottum,-15.203960396039607,13.09106093783501,2.668472467325123, Moving-Bottum,-15.862046204620457,12.739621649024356,2.8838776254736715, Moving-Bottum,-15.879867986798674,12.38752275517964,3.234107273168746, Moving-Top,-14.427722772277225,18.663743886498082,3.460270604847531]	5,0	Current,-16.066666666666666,15.616230872610288	1,448	Moving-Top	-14,65	15,923	1,458	14,236	-16,539	Moving-Bottum	Moving-Bottum	13,091000000000001	2,668	-15,203000000000001	12,739	-15,862	2,883	Moving-Bottum	3,234	Moving-Bottum	-15,879	12,387	0,0	not set	Moving-Bottum	not set	Moving-Top	3,46	0,666	18,663	-14,427	not set	
56625424978	8,334	1,0	Current	8,334	-11,133000000000001	-11,133000000000001	[Standing-Top,-12.56435643564357,7.932051545371518,1.486581975325831, Standing-Top,-12.417161716171623,6.9860135572145,1.8620097310566244, Standing-Top,-12.222772277227724,5.960797488933066,2.611921051472067, Standing-Top,-11.626072607260724,5.600192351741569,2.7785142050733533, Standing-Top,-12.822772277227724,5.0887337131947525,3.6592736972283197, Standing-Top,-10.235973597359731,3.7254820616759656,4.695725315166395]	5,0	Current,-11.133333333333333,8.334666560017068	1,486	Standing-Top	-12,564	7,932	1,862	6,986	-12,417	Standing-Top	Standing-Top	5,96	2,611	-12,222	5,6000000000000005	-11,626	2,778	Standing-Top	3,6590000000000003	Standing-Top	-12,822000000000001	5,088	0,0	not set	Standing-Top	not set	Standing-Top	4,695	1,0	3,725	-10,235	not set	
57090810426	13,446	1,0	Current	13,446	-16,8	-16,8	[Moving-Bottum,-16.539603960396043,14.236851310399269,0.832437928976947, Moving-Bottum,-15.862046204620457,12.739621649024356,1.174306099810453, Moving-Bottum,-15.879867986798674,12.38752275517964,1.4026465156978472, Moving-Bottum,-15.203960396039607,13.09106093783501,1.6350713728446529, Moving-Bottum,-14.899999999999997,13.266144818232098,1.908511442411818, Moving-Bottum,-15.291419141914197,11.811110738324986,2.2247016192161224]	5,0	Current,-16.8,13.44618905117729	0,8320000000000001	Moving-Bottum	-16,539	14,236	1,174	12,739	-15,862	Moving-Bottum	Moving-Bottum	12,387	1,4020000000000001	-15,879	13,091000000000001	-15,203000000000001	1,635	Moving-Bottum	1,9080000000000001	Moving-Bottum	-14,899000000000001	13,266	0,0	not set	Moving-Bottum	not set	Moving-Bottum	2,224	1,0	11,811	-15,291	not set	
58258790560	32,517	1,0	Current	32,517	-24,233	-24,233	[Moving-Top,-16.083168316831685,25.604811751291198,10.686718615825917, Moving-Top,-15.049504950495056,23.929977178634413,12.573093068673888, Moving-Top,-14.700990099009898,19.874140429959425,15.833884216694571, Moving-Top,-14.862706270627067,19.705704270370518,15.87269455696816, Moving-Top,-14.53564356435644,19.635010359170884,16.124371348237826, Moving-Top,-13.770957095709575,20.180640988723624,16.17564177062865]	5,0	Current,-24.233333333333334,32.51717494904295	10,686	Moving-Top	-16,083000000000002	25,604	12,573	23,929000000000002	-15,049	Moving-Top	Moving-Top	19,874	15,833	-14,700000000000001	19,705000000000002	-14,862	15,872	Moving-Top	16,124	Moving-Top	-14,535	19,635	0,0	not set	Moving-Top	not set	Moving-Top	16,175	1,0	20,18	-13,77	not set	
39721519865	2,316	1,0	Current	2,316	-15,766	-15,766	[Standing-Bottum,-15.811221122112201,2.701993790035831,0.3879539895260172, Standing-Bottum,-15.393069306930718,3.25042815177856,1.0057820167073432, Standing-Bottum,-16.815511551155122,2.5804636421259044,1.081524881967796, Standing-Bottum,-16.740264026402635,1.352720810025369,1.3700247641855128, Standing-Bottum,-16.45115511551154,3.9958439371028827,1.8133841536066146, Standing-Bottum,-17.074917491749176,1.043736243663664,1.8252998261129365]	5,0	Current,-15.766666666666667,2.316606713852541	0,387	Standing-Bottum	-15,811	2,701	1,0050000000000001	3,25	-15,393	Standing-Bottum	Standing-Bottum	2,58	1,081	-16,815	1,352	-16,740000000000002	1,37	Standing-Bottum	1,813	Standing-Bottum	-16,451	3,995	0,0	not set	Standing-Bottum	not set	Standing-Bottum	1,825	1,0	1,043	-17,074	not set	
81385322758	8,294	1,0	Current	8,294	-16,8	-16,8	[Standing-Top,-15.658415841584162,11.217367128078166,3.1378207731996626, Standing-Top,-13.093069306930692,6.630138084314122,4.063457953568157, Standing-Top,-12.56435643564357,7.932051545371518,4.251129353121302, Standing-Top,-12.726732673267323,7.0347914566004075,4.263632861157005, Standing-Top,-12.6990099009901,6.836508171584434,4.352480116328263, Standing-Top,-12.417161716171623,6.9860135572145,4.574014484628551]	5,0	Current,-16.8,8.294576541331088	3,137	Standing-Top	-15,658	11,217	4,063	6,63	-13,093	Standing-Top	Standing-Top	7,932	4,251	-12,564	7,034	-12,726	4,263	Standing-Top	4,352	Standing-Top	-12,699	6,836	0,0	not set	Standing-Top	not set	Standing-Top	4,574	1,0	6,986	-12,417	not set	
