window:30.0	alpha:0.2	knn:6.0	
time	StdDev	source	Datapoint Type	Datapoint Y	Datapoint X	power	Neighbores	destination	Datapoint	Neighbore(1) Distance	Neighbore(1) Type	Neighbore(1) X	Neighbore(1) Y	Neighbore(2) Distance	Neighbore(2) Y	Neighbore(2) X	Neighbore(2) Type	Neighbore(3) Type	Neighbore(3) Y	Neighbore(3) Distance	Neighbore(3) X	Neighbore(4) Y	Neighbore(4) X	Neighbore(4) Distance	Neighbore(4) Type	Neighbore(5) Distance	Neighbore(5) Type	Neighbore(5) X	Neighbore(5) Y	KNNTotalMissfired	KNNStateWeight	KNNState	KNNStateMissfired	Neighbore(6) Type	Neighbore(6) Distance	KNNConfidence	Neighbore(6) Y	Neighbore(6) X	null	
315488533	9,847	6,0	Current	9,847	-9,366	-9,366	[Empty,-8.309570957095708,5.6639508391396935,4.314711520868664, Empty,-8.395709570957093,5.545619531105254,4.409768095248176, Empty,-8.298019801980198,5.486159449661989,4.490031083607569, Empty,-8.31749174917492,5.479629419555382,4.491785687186496, Empty,-8.557425742574257,5.263478415921682,4.65457381060838, Empty,-8.348184818481846,5.301625256747714,4.658244367268786]	1,0	Current,-9.366666666666667,9.847165412780813	4,314	Empty	-8,309000000000001	5,663	4,409	5,545	-8,395	Empty	Empty	5,486	4,49	-8,298	5,479	-8,317	4,491	Empty	4,654	Empty	-8,557	5,263	0,0	not set	Empty	not set	Empty	4,658	1,0	5,301	-8,348	not set	
67770345915	38,087	6,0	Current	38,087	-13,666	-13,666	[Moving-Top,-10.908250825082513,18.719900881845472,19.563162714278103, Moving-Top,-11.200000000000001,16.887162425696392,21.343471440010607, Moving-Top,-11.230363036303626,16.81566899789242,21.411011229657056, Moving-Top,-10.967656765676573,16.067330529654594,22.18507893379246, Moving-Top,-9.468976897689767,16.054399117449705,22.429519529108024, Moving-Top,-9.106600660066004,14.595765396301804,23.930343795173336]	1,0	Current,-13.666666666666666,38.08761828556186	19,563	Moving-Top	-10,908	18,719	21,343	16,887	-11,200000000000001	Moving-Top	Moving-Top	16,815	21,411	-11,23	16,067	-10,967	22,185	Moving-Top	22,429000000000002	Moving-Top	-9,468	16,054000000000002	0,0	not set	Moving-Top	not set	Moving-Top	23,93	1,0	14,595	-9,106	not set	
25596888297	2,6830000000000003	6,0	Current	2,6830000000000003	-10,4	-10,4	[Standing-Top,-11.032673267326743,1.5630899581888,1.2865087318330384, Standing-Top,-11.688778877887787,2.7243657892900712,1.2894335612655239, Standing-Top,-11.670297029702963,2.206267267847147,1.3569072153218098, Empty,-8.529702970297032,4.2193205031912795,2.4202120928504782, Empty,-8.588778877887787,4.370620129932822,2.475405695820064, Empty,-8.51749174917492,4.457689893948726,2.586960031364513]	1,0	Current,-10.4,2.683281572999747	1,286	Standing-Top	-11,032	1,563	1,289	2,724	-11,688	Standing-Top	Standing-Top	2,206	1,356	-11,67	4,219	-8,529	2,42	Empty	2,475	Empty	-8,588000000000001	4,37	0,0	not set	Empty	not set	Empty	2,586	0,5	4,457	-8,517	not set	
21842100309	3,507	6,0	Current	3,507	-9,3	-9,3	[Standing-Top,-9.228382838283833,3.726947111908236,0.23118418185371506, Standing-Top,-9.019471947194715,3.9385285789497773,0.5145832343394435, Standing-Top,-9.078217821782173,3.9919681269491614,0.5331509447687783, Standing-Top,-9.166336633663368,4.088790187782903,0.596814857689045, Standing-Bottum,-9.507920792079204,2.791697641135978,0.7450385929187363, Standing-Top,-9.985148514851486,4.073238279131236,0.888763607251072]	1,0	Current,-9.3,3.507135583350037	0,231	Standing-Top	-9,228	3,726	0,514	3,938	-9,019	Standing-Top	Standing-Top	3,991	0,533	-9,078	4,088	-9,166	0,596	Standing-Top	0,745	Standing-Bottum	-9,507	2,791	0,0	not set	Standing-Top	not set	Standing-Top	0,888	0,833	4,073	-9,985	not set	
57284763464	0,983	6,0	Current	0,983	-9,966000000000001	-9,966000000000001	[Standing-Bottum,-10.023762376237634,1.5667583751495642,0.5863527441685705, Standing-Top,-9.921782178217814,1.799951895642828,0.817992184157988, Standing-Bottum,-10.156105610561058,2.0265346628787415,1.0604012722502125, Standing-Top,-11.032673267326743,1.5630899581888,1.2135285828889946, Standing-Bottum,-10.110561056105606,2.2873344618243094,1.3120567620075971, Standing-Top,-10.377557755775578,2.272479827523513,1.3531793607568312]	1,0	Current,-9.966666666666667,0.983192080250175	0,586	Standing-Bottum	-10,023	1,566	0,8170000000000001	1,799	-9,921	Standing-Top	Standing-Bottum	2,0260000000000002	1,06	-10,156	1,563	-11,032	1,213	Standing-Top	1,312	Standing-Bottum	-10,11	2,287	0,0	not set	Standing-Bottum	not set	Standing-Top	1,353	0,5	2,2720000000000002	-10,377	not set	
37099902660	2,943	6,0	Current	2,943	-10,666	-10,666	[Standing-Top,-10.377557755775578,2.272479827523513,0.7310377933893125, Standing-Top,-11.460726072607267,3.3524806249311694,0.8930016172672962, Standing-Top,-11.688778877887787,2.7243657892900712,1.0454269704631802, Standing-Top,-11.670297029702963,2.206267267847147,1.2455544487872692, Standing-Top,-11.032673267326743,1.5630899581888,1.4285143449038797, Empty,-8.529702970297032,4.2193205031912795,2.4886260358945935]	1,0	Current,-10.666666666666666,2.9439202887759492	0,731	Standing-Top	-10,377	2,2720000000000002	0,893	3,352	-11,46	Standing-Top	Standing-Top	2,724	1,045	-11,688	2,206	-11,67	1,245	Standing-Top	1,428	Standing-Top	-11,032	1,563	0,0	not set	Standing-Top	not set	Empty	2,488	0,833	4,219	-8,529	not set	
76650811705	30,613	6,0	Current	30,613	-18,6	-18,6	[Moving-Top,-12.517491749174924,20.27817567803888,11.992515705163743, Moving-Top,-10.908250825082513,18.719900881845472,14.16425063293093, Moving-Top,-11.200000000000001,16.887162425696392,15.594179975039214, Moving-Top,-11.230363036303626,16.81566899789242,15.642820302993885, Moving-Top,-11.924752475247523,15.832641136416829,16.218486157197987, Moving-Top,-10.967656765676573,16.067330529654594,16.427117217569826]	1,0	Current,-18.6,30.61372241332308	11,992	Moving-Top	-12,517	20,278	14,164	18,719	-10,908	Moving-Top	Moving-Top	16,887	15,594000000000001	-11,200000000000001	16,815	-11,23	15,642	Moving-Top	16,218	Moving-Top	-11,924	15,832	0,0	not set	Moving-Top	not set	Moving-Top	16,427	1,0	16,067	-10,967	not set	
80222193670	4,549	6,0	Current	4,549	-9,1	-9,1	[Empty,-8.588778877887787,4.370620129932822,0.5416878119486132, Standing-Top,-9.078217821782173,3.9919681269491614,0.5581823088658386, Empty,-8.51749174917492,4.457689893948726,0.5897341537228727, Empty,-8.529702970297032,4.2193205031912795,0.659094841171949, Empty,-8.574917491749176,4.970107721813648,0.6726314364230822, Empty,-8.352145214521459,4.654065874447901,0.7550984986374334]	1,0	Current,-9.1,4.54972526643093	0,541	Empty	-8,588000000000001	4,37	0,558	3,991	-9,078	Standing-Top	Empty	4,457	0,589	-8,517	4,219	-8,529	0,659	Empty	0,672	Empty	-8,574	4,97	0,0	not set	Empty	not set	Empty	0,755	0,833	4,654	-8,352	not set	
62303873377	2,994	6,0	Current	2,994	-9,633000000000001	-9,633000000000001	[Standing-Bottum,-9.507920792079204,2.791697641135978,0.23839564181844053, Standing-Bottum,-9.814191419141915,2.6259856600240603,0.41044820048461306, Standing-Bottum,-9.752805280528055,2.517303244180377,0.4918661944175759, Standing-Bottum,-9.752145214521452,2.275190459855925,0.7289959835397711, Standing-Bottum,-10.349174917491752,2.5638962551329043,0.8353421330368108, Standing-Top,-9.228382838283833,3.726947111908236,0.8369902098188772]	1,0	Current,-9.633333333333333,2.9944392908634274	0,23800000000000002	Standing-Bottum	-9,507	2,791	0,41000000000000003	2,625	-9,814	Standing-Bottum	Standing-Bottum	2,517	0,491	-9,752	2,275	-9,752	0,728	Standing-Bottum	0,835	Standing-Bottum	-10,349	2,563	0,0	not set	Standing-Bottum	not set	Standing-Top	0,836	0,833	3,726	-9,228	not set	
18876588151	2,714	6,0	Current	2,714	-12,433	-12,433	[Standing-Top,-11.670297029702963,2.206267267847147,0.916613240372257, Standing-Top,-11.032673267326743,1.5630899581888,1.8129566399021064, Empty,-8.529702970297032,4.2193205031912795,4.183758711152963, Empty,-8.588778877887787,4.370620129932822,4.186222378713049, Empty,-8.51749174917492,4.457689893948726,4.286456626992181, Empty,-8.574917491749176,4.970107721813648,4.469526947442523]	1,0	Current,-12.433333333333334,2.714160398109637	0,916	Standing-Top	-11,67	2,206	1,812	1,563	-11,032	Standing-Top	Empty	4,219	4,183	-8,529	4,37	-8,588000000000001	4,186	Empty	4,2860000000000005	Empty	-8,517	4,457	0,0	not set	Empty	not set	Empty	4,469	0,666	4,97	-8,574	not set	
