window:30.0	alpha:0.2	knn:6.0	
time	StdDev	source	Datapoint Type	Datapoint Y	Datapoint X	power	Neighbores	destination	Datapoint	Neighbore(1) Distance	Neighbore(1) Type	Neighbore(1) X	Neighbore(1) Y	Neighbore(2) Distance	Neighbore(2) Y	Neighbore(2) X	Neighbore(2) Type	Neighbore(3) Type	Neighbore(3) Y	Neighbore(3) Distance	Neighbore(3) X	Neighbore(4) Y	Neighbore(4) X	Neighbore(4) Distance	Neighbore(4) Type	Neighbore(5) Distance	Neighbore(5) Type	Neighbore(5) X	Neighbore(5) Y	KNNTotalMissfired	KNNStateWeight	KNNState	KNNStateMissfired	Neighbore(6) Type	Neighbore(6) Distance	KNNConfidence	Neighbore(6) Y	Neighbore(6) X	null	
45881976228	4,979	3,0	Current	4,979	-13,8	-13,8	[Empty,-13.666996699669973,4.848211036778574,0.18721010880017105, Empty,-13.417821782178219,4.6605784174472795,0.4980609227146245, Empty,-13.757755775577568,3.846775062697631,1.1339719186044959, Empty,-13.512871287128727,6.246251601287346,1.298436646316179, Empty,-13.831683168316836,2.8109576992952956,2.1692335296242837, Empty,-13.303630363036307,7.684769028020872,2.749977375262145]	2,0	Current,-13.8,4.979959839195493	0,187	Empty	-13,666	4,848	0,498	4,66	-13,417	Empty	Empty	3,846	1,133	-13,757	6,246	-13,512	1,298	Empty	2,169	Empty	-13,831	2,81	0,0	not set	Empty	not set	Empty	2,749	1,0	7,684	-13,303	not set	
16554633925	3,082	3,0	Current	3,082	-9,5	-9,5	[Standing-Top,-9.11749174917492,3.3944487777441967,0.4937686591826985, Standing-Top,-10.233993399339935,1.7292095702882413,1.5392687741581184, Standing-Top,-11.120792079207924,4.814851518725735,2.3725564244395323, Empty,-12.996699669967006,4.095031051853447,3.6404287026328577, Empty,-13.304290429042897,2.5457563110181014,3.841927252279675, Empty,-13.334653465346543,4.168946628128677,3.985670610501199]	2,0	Current,-9.5,3.082207001484488	0,493	Standing-Top	-9,117	3,394	1,539	1,729	-10,233	Standing-Top	Standing-Top	4,814	2,372	-11,120000000000001	4,095	-12,996	3,64	Empty	3,841	Empty	-13,304	2,545	0,0	not set	Empty	not set	Empty	3,985	0,5	4,168	-13,334	not set	
61619411054	2,581	3,0	Current	2,581	-11,333	-11,333	[Standing-Top,-11.5960396039604,2.4385559522104554,0.29931186814603716, Standing-Top,-11.526402640264019,2.201246669292039,0.4268962421922226, Standing-Top,-10.550825082508247,2.3448891120610944,0.8176401842198379, Standing-Top,-11.094719471947196,1.7358643359626038,0.8791264689647411, Standing-Top,-10.972277227722769,1.7682201015630126,0.890270276148316, Standing-Top,-10.233993399339935,1.7292095702882413,1.3913234244214865]	2,0	Current,-11.333333333333334,2.5819888974716116	0,299	Standing-Top	-11,596	2,438	0,426	2,201	-11,526	Standing-Top	Standing-Top	2,344	0,8170000000000001	-10,55	1,735	-11,094	0,879	Standing-Top	0,89	Standing-Top	-10,972	1,768	0,0	not set	Standing-Top	not set	Standing-Top	1,391	1,0	1,729	-10,233	not set	
84854396375	8,238	3,0	Current	8,238	-10,266	-10,266	[Moving-Top,-10.423762376237624,8.445507147769883,0.2601679165468476, Moving-Top,-10.551155115511547,7.862226176879535,0.47141480817516523, Moving-Top,-10.072277227722775,8.718025269481995,0.517777625251257, Moving-Top,-10.593399339933992,7.63732851784203,0.683891779018085, Moving-Top,-10.390759075907596,9.027303844107527,0.7988777778883454, Moving-Top,-10.920792079207922,9.280297513156016,1.230450431399564]	2,0	Current,-10.266666666666667,8.238122763510303	0,26	Moving-Top	-10,423	8,445	0,47100000000000003	7,862	-10,551	Moving-Top	Moving-Top	8,718	0,517	-10,072000000000001	7,6370000000000005	-10,593	0,683	Moving-Top	0,798	Moving-Top	-10,39	9,027000000000001	0,0	not set	Moving-Top	not set	Moving-Top	1,23	1,0	9,28	-10,92	not set	
92841880641	4,816	3,0	Current	4,816	-11,4	-11,4	[Standing-Top,-11.120792079207924,4.814851518725735,0.2792136349579342, Standing-Top,-10.898349834983499,3.5237871315874822,1.3867645151103032, Empty,-12.996699669967006,4.095031051853447,1.752188968270554, Empty,-13.417821782178219,4.6605784174472795,2.0238476438093462, Empty,-13.334653465346543,4.168946628128677,2.0401931099589308, Empty,-13.218811881188119,6.027850800099188,2.18520331191698]	2,0	Current,-11.4,4.816637831516918	0,279	Standing-Top	-11,120000000000001	4,814	1,3860000000000001	3,523	-10,898	Standing-Top	Empty	4,095	1,752	-12,996	4,66	-13,417	2,023	Empty	2,04	Empty	-13,334	4,168	0,0	not set	Empty	not set	Empty	2,185	0,666	6,027	-13,218	not set	
85874009570	14,611	3,0	Current	14,611	-9,5	-9,5	[Moving-Bottum,-9.168646864686469,13.611489634349203,1.0536100067659586, Moving-Bottum,-10.46468646864687,15.3615417348637,1.2218730704459213, Moving-Bottum,-9.937623762376235,13.341695977322386,1.343231304197385, Moving-Top,-10.924422442244222,14.488311638490131,1.4297513701550628, Moving-Bottum,-10.629372937293729,13.06769722043976,1.9129140221174308, Moving-Bottum,-11.442904290429043,14.11886838948343,2.0044201529924073]	2,0	Current,-9.5,14.611639196202457	1,053	Moving-Bottum	-9,168000000000001	13,611	1,221	15,361	-10,464	Moving-Bottum	Moving-Bottum	13,341000000000001	1,343	-9,937	14,488	-10,924	1,429	Moving-Top	1,9120000000000001	Moving-Bottum	-10,629	13,067	0,0	not set	Moving-Bottum	not set	Moving-Bottum	2,004	0,833	14,118	-11,442	not set	
39257340516	9,373	3,0	Current	9,373	-6,266	-6,266	[Moving-Bottum,-9.852475247524755,10.29862365834308,3.7031697241948516, Moving-Top,-10.072277227722775,8.718025269481995,3.86168488124617, Moving-Bottum,-9.833333333333332,11.453384562838124,4.128693125472388, Moving-Top,-10.390759075907596,9.027303844107527,4.138616173591733, Moving-Top,-10.423762376237624,8.445507147769883,4.259463323154364, Moving-Top,-10.502640264026402,10.342599117728374,4.3453647631624115]	2,0	Current,-6.266666666666667,9.373722135132162	3,7030000000000003	Moving-Bottum	-9,852	10,298	3,861	8,718	-10,072000000000001	Moving-Top	Moving-Bottum	11,453	4,128	-9,833	9,027000000000001	-10,39	4,138	Moving-Top	4,259	Moving-Top	-10,423	8,445	0,0	not set	Moving-Top	not set	Moving-Top	4,345	0,666	10,342	-10,502	not set	
14259377328	3,06	3,0	Current	3,06	-8,766	-8,766	[Standing-Top,-10.233993399339935,1.7292095702882413,1.981258372816022, Standing-Top,-11.120792079207924,4.814851518725735,2.9359243912341046, Empty,-12.996699669967006,4.095031051853447,4.354702232903553, Empty,-13.304290429042897,2.5457563110181014,4.566726568719042, Empty,-13.334653465346543,4.168946628128677,4.700548371876163, Empty,-13.569306930693065,2.893163410606097,4.805554639231322]	2,0	Current,-8.766666666666667,3.0605010483034745	1,981	Standing-Top	-10,233	1,729	2,935	4,814	-11,120000000000001	Standing-Top	Empty	4,095	4,354	-12,996	2,545	-13,304	4,566	Empty	4,7	Empty	-13,334	4,168	0,0	not set	Empty	not set	Empty	4,805	0,666	2,8930000000000002	-13,569	not set	
78712537761	5,477	3,0	Current	5,477	-13,0	-13,0	[Empty,-13.218811881188119,6.027850800099188,0.59250888415932, Empty,-13.666996699669973,4.848211036778574,0.9168118055138366, Empty,-13.417821782178219,4.6605784174472795,0.9173263441577915, Empty,-13.512871287128727,6.246251601287346,0.9243581482244451, Empty,-13.334653465346543,4.168946628128677,1.3504024381014579, Empty,-13.757755775577568,3.846775062697631,1.797932893257332]	2,0	Current,-13.0,5.477225575051661	0,592	Empty	-13,218	6,027	0,916	4,848	-13,666	Empty	Empty	4,66	0,917	-13,417	6,246	-13,512	0,924	Empty	1,35	Empty	-13,334	4,168	0,0	not set	Empty	not set	Empty	1,797	1,0	3,846	-13,757	not set	
64311227215	4,472	3,0	Current	4,472	-11,0	-11,0	[Standing-Top,-11.120792079207924,4.814851518725735,0.3633795316463352, Empty,-12.996699669967006,4.095031051853447,2.0319984448870043, Standing-Top,-11.5960396039604,2.4385559522104554,2.119129735819184, Standing-Top,-9.11749174917492,3.3944487777441967,2.1691581238916573, Standing-Top,-10.550825082508247,2.3448891120610944,2.1741520731759945, Standing-Top,-9.886798679867987,2.603634106282185,2.174975020041375]	2,0	Current,-11.0,4.47213595499958	0,363	Standing-Top	-11,120000000000001	4,814	2,031	4,095	-12,996	Empty	Standing-Top	2,438	2,119	-11,596	3,394	-9,117	2,169	Standing-Top	2,174	Standing-Top	-10,55	2,344	0,0	not set	Standing-Top	not set	Standing-Top	2,174	0,833	2,603	-9,886000000000001	not set	
87946527176	12,132	3,0	Current	12,132	-10,6	-10,6	[Moving-Bottum,-10.26666666666667,12.685299458840822,0.6454355254771657, Moving-Top,-10.03267326732673,11.670859505148801,0.7314810744706437, Moving-Top,-10.918481848184816,12.820515988047914,0.7580620797343331, Moving-Top,-10.488778877887794,11.270758448492257,0.8689891958800896, Standing-Bottum,-10.573597359735974,11.203888452371853,0.929087486611382, Moving-Top,-10.488118811881185,11.204721161456735,0.9346003732906918]	2,0	Current,-10.6,12.132600710482482	0,645	Moving-Bottum	-10,266	12,685	0,731	11,67	-10,032	Moving-Top	Moving-Top	12,82	0,758	-10,918000000000001	11,27	-10,488	0,868	Moving-Top	0,929	Standing-Bottum	-10,573	11,203	0,0	not set	Moving-Top	not set	Moving-Top	0,934	0,666	11,204	-10,488	not set	
53432649620	10,691	3,0	Current	10,691	-9,700000000000001	-9,700000000000001	[Moving-Bottum,-9.852475247524755,10.29862365834308,0.42107049194928203, Moving-Bottum,-9.833333333333332,11.453384562838124,0.773840023652536, Moving-Top,-10.502640264026402,10.342599117728374,0.8750409541325346, Moving-Top,-10.488118811881185,11.204721161456735,0.9407016878798807, Moving-Top,-10.488778877887794,11.270758448492257,0.9788541206296871, Standing-Bottum,-10.573597359735974,11.203888452371853,1.0129689432186146]	2,0	Current,-9.7,10.69111780872328	0,421	Moving-Bottum	-9,852	10,298	0,773	11,453	-9,833	Moving-Bottum	Moving-Top	10,342	0,875	-10,502	11,204	-10,488	0,9400000000000001	Moving-Top	0,978	Moving-Top	-10,488	11,27	0,0	not set	Moving-Top	not set	Standing-Bottum	1,012	0,5	11,203	-10,573	not set	
35042161412	1,366	3,0	Current	1,366	-13,933	-13,933	[Empty,-13.884488448844879,1.8647902171361963,0.5009172569505161, Empty,-13.831683168316836,2.8109576992952956,1.4482692785904816, Empty,-13.757755775577568,3.846775062697631,2.4867211239697755, Empty,-13.666996699669973,4.848211036778574,3.492122207733502, Empty,-13.303630363036307,7.684769028020872,6.3498095150476335, Empty,-13.067326732673267,7.709377068312724,6.401960658976903]	2,0	Current,-13.933333333333334,1.3662601021279464	0,5	Empty	-13,884	1,864	1,448	2,81	-13,831	Empty	Empty	3,846	2,486	-13,757	4,848	-13,666	3,492	Empty	6,349	Empty	-13,303	7,684	0,0	not set	Empty	not set	Empty	6,401	1,0	7,7090000000000005	-13,067	not set	
18607582151	2,994	3,0	Current	2,994	-9,633000000000001	-9,633000000000001	[Standing-Top,-9.11749174917492,3.3944487777441967,0.6527634560403001, Standing-Top,-10.233993399339935,1.7292095702882413,1.40057086958205, Standing-Top,-11.120792079207924,4.814851518725735,2.350836914809154, Empty,-12.996699669967006,4.095031051853447,3.5388607402326144, Empty,-13.304290429042897,2.5457563110181014,3.6982756001876442, Empty,-13.334653465346543,4.168946628128677,3.883199480446014]	2,0	Current,-9.633333333333333,2.9944392908634274	0,652	Standing-Top	-9,117	3,394	1,4000000000000001	1,729	-10,233	Standing-Top	Standing-Top	4,814	2,35	-11,120000000000001	4,095	-12,996	3,5380000000000003	Empty	3,698	Empty	-13,304	2,545	0,0	not set	Empty	not set	Empty	3,883	0,5	4,168	-13,334	not set	
34620294462	2,0	3,0	Current	2,0	-11,0	-11,0	[Standing-Top,-10.972277227722769,1.7682201015630126,0.2334319460189531, Standing-Top,-10.233993399339935,1.7292095702882413,0.8124614262094336, Standing-Top,-9.886798679867987,2.603634106282185,1.2663298596379813, Standing-Top,-9.307590759075909,3.0982788391530525,2.017539453715003, Standing-Top,-9.11749174917492,3.3944487777441967,2.342717376931495, Empty,-13.304290429042897,2.5457563110181014,2.368038076635337]	2,0	Current,-11.0,2.0	0,233	Standing-Top	-10,972	1,768	0,812	1,729	-10,233	Standing-Top	Standing-Top	2,603	1,266	-9,886000000000001	3,098	-9,307	2,017	Standing-Top	2,342	Standing-Top	-9,117	3,394	0,0	not set	Standing-Top	not set	Empty	2,368	0,833	2,545	-13,304	not set	
88276401285	3,076	3,0	Current	3,076	-13,466000000000001	-13,466000000000001	[Empty,-13.79735973597359,3.077169168132889,0.33069328113431873, Empty,-13.831683168316836,2.8109576992952956,0.4515600152132252, Empty,-13.304290429042897,2.5457563110181014,0.555308916495902, Empty,-13.757755775577568,3.846775062697631,0.8231660633326089, Empty,-13.334653465346543,4.168946628128677,1.1001013362505243, Empty,-12.996699669967006,4.095031051853447,1.1214606109028975]	2,0	Current,-13.466666666666667,3.076794869123821	0,33	Empty	-13,797	3,077	0,451	2,81	-13,831	Empty	Empty	2,545	0,555	-13,304	3,846	-13,757	0,8230000000000001	Empty	1,1	Empty	-13,334	4,168	0,0	not set	Empty	not set	Empty	1,121	1,0	4,095	-12,996	not set	
34954017789	0,983	3,0	Current	0,983	-13,966000000000001	-13,966000000000001	[Empty,-13.884488448844879,1.8647902171361963,0.8854199763080056, Empty,-13.831683168316836,2.8109576992952956,1.8327432179632126, Empty,-13.757755775577568,3.846775062697631,2.8711933508174448, Empty,-13.666996699669973,4.848211036778574,3.8766188390714493, Empty,-13.303630363036307,7.684769028020872,6.734296602231255, Empty,-13.067326732673267,7.709377068312724,6.786042794627312]	2,0	Current,-13.966666666666667,0.983192080250175	0,885	Empty	-13,884	1,864	1,832	2,81	-13,831	Empty	Empty	3,846	2,871	-13,757	4,848	-13,666	3,876	Empty	6,734	Empty	-13,303	7,684	0,0	not set	Empty	not set	Empty	6,7860000000000005	1,0	7,7090000000000005	-13,067	not set	
75096653234	0,0	3,0	Current	0,0	-10,0	-10,0	[Standing-Top,-10.03234323432343,0.8351519078917737,0.8357779573916567, Standing-Top,-10.233993399339935,1.7292095702882413,1.7449695266425436, Standing-Top,-11.370957095709576,1.1488339309052698,1.7886706681431577, Standing-Top,-10.509240924092405,1.8239506263650482,1.893705945015735, Standing-Top,-10.972277227722769,1.7682201015630126,2.0179012203573747, Standing-Top,-11.094719471947196,1.7358643359626038,2.0522270135458305]	2,0	Current,-10.0,0.0	0,835	Standing-Top	-10,032	0,835	1,744	1,729	-10,233	Standing-Top	Standing-Top	1,1480000000000001	1,788	-11,370000000000001	1,823	-10,509	1,893	Standing-Top	2,017	Standing-Top	-10,972	1,768	0,0	not set	Standing-Top	not set	Standing-Top	2,052	1,0	1,735	-11,094	not set	
69777777910	0,983	3,0	Current	0,983	-10,033	-10,033	[Standing-Top,-10.233993399339935,1.7292095702882413,0.7725325608234718, Standing-Top,-10.509240924092405,1.8239506263650482,0.9661071202549436, Standing-Top,-10.972277227722769,1.7682201015630126,1.2238809709516483, Standing-Top,-11.094719471947196,1.7358643359626038,1.30117487670216, Standing-Top,-11.370957095709576,1.1488339309052698,1.3478406999204395, Standing-Top,-10.550825082508247,2.3448891120610944,1.4567142880149084]	2,0	Current,-10.033333333333333,0.9831920802501745	0,772	Standing-Top	-10,233	1,729	0,966	1,823	-10,509	Standing-Top	Standing-Top	1,768	1,223	-10,972	1,735	-11,094	1,301	Standing-Top	1,347	Standing-Top	-11,370000000000001	1,1480000000000001	0,0	not set	Standing-Top	not set	Standing-Top	1,456	1,0	2,344	-10,55	not set	
76206915805	0,0	3,0	Current	0,0	-10,0	-10,0	[Standing-Top,-10.03234323432343,0.8351519078917737,0.8357779573916567, Standing-Top,-10.233993399339935,1.7292095702882413,1.7449695266425436, Standing-Top,-11.370957095709576,1.1488339309052698,1.7886706681431577, Standing-Top,-10.509240924092405,1.8239506263650482,1.893705945015735, Standing-Top,-10.972277227722769,1.7682201015630126,2.0179012203573747, Standing-Top,-11.094719471947196,1.7358643359626038,2.0522270135458305]	2,0	Current,-10.0,0.0	0,835	Standing-Top	-10,032	0,835	1,744	1,729	-10,233	Standing-Top	Standing-Top	1,1480000000000001	1,788	-11,370000000000001	1,823	-10,509	1,893	Standing-Top	2,017	Standing-Top	-10,972	1,768	0,0	not set	Standing-Top	not set	Standing-Top	2,052	1,0	1,735	-11,094	not set	
