window:30.0	alpha:0.2	knn:6.0	
time	StdDev	source	Datapoint Type	Datapoint Y	Datapoint X	power	Neighbores	destination	Datapoint	Neighbore(1) Distance	Neighbore(1) Type	Neighbore(1) X	Neighbore(1) Y	Neighbore(2) Distance	Neighbore(2) Y	Neighbore(2) X	Neighbore(2) Type	Neighbore(3) Type	Neighbore(3) Y	Neighbore(3) Distance	Neighbore(3) X	Neighbore(4) Y	Neighbore(4) X	Neighbore(4) Distance	Neighbore(4) Type	Neighbore(5) Distance	Neighbore(5) Type	Neighbore(5) X	Neighbore(5) Y	KNNTotalMissfired	KNNStateWeight	KNNState	KNNStateMissfired	Neighbore(6) Type	Neighbore(6) Distance	KNNConfidence	Neighbore(6) Y	Neighbore(6) X	null	
315488533	21,245	4,0	Current	21,245	-21,766000000000002	-21,766000000000002	[Empty,-24.24257425742575,3.8829602093398887,17.538076980634873, Empty,-24.736303630363032,2.6041005454230124,18.876347051512706, Empty,-26.097029702970303,2.7589052266657834,18.986896127895786, Empty,-23.851815181518155,2.2879078819587977,19.071812588647376, Empty,-26.448844884488476,2.6683354248577666,19.158022108820077, Empty,-26.34224422442245,2.483779569101507,19.311499116596316]	1,0	Current,-21.766666666666666,21.245391657172775	17,538	Empty	-24,242	3,882	18,876	2,604	-24,736	Empty	Empty	2,758	18,986	-26,097	2,287	-23,851	19,071	Empty	19,158	Empty	-26,448	2,668	0,0	not set	Empty	not set	Empty	19,311	1,0	2,483	-26,342000000000002	not set	
67770345915	26,683	4,0	Current	26,683	-21,0	-21,0	[Moving-Top,-23.65610561056105,27.571623397202693,2.8007080353533604, Moving-Top,-20.234653465346543,22.972528656500938,3.78890327636626, Moving-Top,-22.027392739273935,22.732084457001964,4.082629347652263, Moving-Top,-20.354125412541258,22.563965563847656,4.169688467948947, Moving-Top,-24.625742574257423,24.181356405818743,4.4052096107497345, Moving-Top,-20.529702970297024,20.81852724293045,5.883627173829399]	1,0	Current,-21.0,26.68332812825267	2,8000000000000003	Moving-Top	-23,656	27,571	3,7880000000000003	22,972	-20,234	Moving-Top	Moving-Top	22,732	4,082	-22,027	22,563	-20,354	4,1690000000000005	Moving-Top	4,405	Moving-Top	-24,625	24,181	0,0	not set	Moving-Top	not set	Moving-Top	5,883	1,0	20,818	-20,529	not set	
25596888297	0,0	4,0	Current	0,0	-19,0	-19,0	[Standing-Top,-18.994059405940593,0.5574552711547154,0.5574869236098331, Standing-Top,-19.02178217821782,1.3213259303003178,1.3215054586992492, Standing-Top,-19.637953795379545,2.3522439648080393,2.4372190535557143, Empty,-23.851815181518155,2.2879078819587977,5.364199197637914, Empty,-24.112871287128737,2.0262457029801686,5.499738579931874, Empty,-24.998349834983497,0.048672875259909654,5.99854730677625]	1,0	Current,-19.0,0.0	0,557	Standing-Top	-18,994	0,557	1,321	1,321	-19,021	Standing-Top	Standing-Top	2,352	2,437	-19,637	2,287	-23,851	5,364	Empty	5,4990000000000006	Empty	-24,112000000000002	2,0260000000000002	0,0	not set	Empty	not set	Empty	5,998	0,5	0,048	-24,998	not set	
21842100309	3,265	4,0	Current	3,265	-23,333000000000002	-23,333000000000002	[Standing-Bottum,-22.73267326732673,3.6185573206599186,0.6964903608698938, Empty,-24.24257425742575,3.8829602093398887,1.0988065496676664, Empty,-23.851815181518155,2.2879078819587977,1.1070053591186364, Empty,-24.112871287128737,2.0262457029801686,1.4644576566419936, Empty,-24.736303630363032,2.6041005454230124,1.551263497232941, Empty,-25.11122112211221,1.5582117269422335,2.4652340787149285]	1,0	Current,-23.333333333333332,3.2659863237109055	0,6960000000000001	Standing-Bottum	-22,732	3,618	1,098	3,882	-24,242	Empty	Empty	2,287	1,107	-23,851	2,0260000000000002	-24,112000000000002	1,464	Empty	1,551	Empty	-24,736	2,604	0,0	not set	Empty	not set	Empty	2,465	0,833	1,558	-25,111	not set	
57284763464	2,422	4,0	Current	2,422	-23,266000000000002	-23,266000000000002	[Standing-Bottum,-22.894059405940595,2.1629419450987086,0.45388278412731364, Standing-Bottum,-23.198019801980188,2.913091195604436,0.49574673854897194, Empty,-23.851815181518155,2.2879078819587977,0.6003430295262608, Standing-Bottum,-22.757095709570976,3.171206460309144,0.9059760818777509, Empty,-24.112871287128737,2.0262457029801686,0.9342263874550628, Standing-Bottum,-23.355445544554456,3.533329165532387,1.114749689015464]	1,0	Current,-23.266666666666666,2.4221202832779936	0,453	Standing-Bottum	-22,894000000000002	2,162	0,495	2,9130000000000003	-23,198	Standing-Bottum	Empty	2,287	0,6	-23,851	3,1710000000000003	-22,757	0,905	Standing-Bottum	0,934	Empty	-24,112000000000002	2,0260000000000002	0,0	not set	Standing-Bottum	not set	Standing-Bottum	1,114	0,666	3,533	-23,355	not set	
37099902660	4,833	4,0	Current	4,833	-17,766000000000002	-17,766000000000002	[Standing-Top,-19.637953795379545,2.3522439648080393,3.108113891137497, Standing-Top,-19.252145214521462,2.1031577231546876,3.1086401617334913, Standing-Top,-19.57227722772278,1.8138173827402093,3.5186896575300066, Standing-Top,-19.02178217821782,1.3213259303003178,3.7300868390290773, Standing-Top,-18.994059405940593,0.5574552711547154,4.449105638159566, Standing-Top,-18.463366336633683,9.310619239342948,4.530599722423935]	1,0	Current,-17.766666666666666,4.833908011812666	3,108	Standing-Top	-19,637	2,352	3,108	2,103	-19,252	Standing-Top	Standing-Top	1,813	3,5180000000000002	-19,572	1,321	-19,021	3,73	Standing-Top	4,449	Standing-Top	-18,994	0,557	0,0	not set	Standing-Top	not set	Standing-Top	4,53	1,0	9,31	-18,463	not set	
76650811705	28,757	4,0	Current	28,757	-28,366	-28,366	[Moving-Top,-23.65610561056105,27.571623397202693,4.85742419760427, Moving-Top,-24.625742574257423,24.181356405818743,5.910269432128145, Moving-Top,-24.032673267326736,23.14801102130803,7.088340544269677, Moving-Top,-22.027392739273935,22.732084457001964,8.745646925573949, Moving-Top,-20.234653465346543,22.972528656500938,9.97948259302722, Moving-Top,-20.354125412541258,22.563965563847656,10.126936419946228]	1,0	Current,-28.366666666666667,28.757028126471397	4,857	Moving-Top	-23,656	27,571	5,91	24,181	-24,625	Moving-Top	Moving-Top	23,148	7,088	-24,032	22,732	-22,027	8,745000000000001	Moving-Top	9,979000000000001	Moving-Top	-20,234	22,972	0,0	not set	Moving-Top	not set	Moving-Top	10,126	1,0	22,563	-20,354	not set	
80222193670	4,324	4,0	Current	4,324	-18,1	-18,1	[Standing-Top,-19.397359735973605,3.118882003048312,1.7709586560718904, Standing-Top,-19.077227722772278,2.547268833765006,2.028050860443983, Standing-Top,-16.679537953795375,2.456686590026152,2.346460691222223, Standing-Top,-19.637953795379545,2.3522439648080393,2.500900389452996, Standing-Top,-19.252145214521462,2.1031577231546876,2.502225454455837, Standing-Top,-18.456435643564348,1.7806162719961842,2.5685844210130173]	1,0	Current,-18.1,4.32434966208793	1,77	Standing-Top	-19,397000000000002	3,118	2,028	2,547	-19,077	Standing-Top	Standing-Top	2,456	2,346	-16,679000000000002	2,352	-19,637	2,5	Standing-Top	2,5020000000000002	Standing-Top	-19,252	2,103	0,0	not set	Standing-Top	not set	Standing-Top	2,568	1,0	1,78	-18,456	not set	
62303873377	5,819	4,0	Current	5,819	-24,066	-24,066	[Empty,-24.24257425742575,3.8829602093398887,1.9445201459438397, Standing-Bottum,-22.139273927392733,4.831428431466226,2.1659046304870944, Standing-Bottum,-23.355445544554456,3.533329165532387,2.3942528098420874, Standing-Bottum,-22.73267326732673,3.6185573206599186,2.5736588255159902, Standing-Bottum,-22.757095709570976,3.171206460309144,2.9543991080932943, Standing-Bottum,-23.198019801980188,2.913091195604436,3.033447324834165]	1,0	Current,-24.066666666666666,5.819507424745386	1,944	Empty	-24,242	3,882	2,165	4,831	-22,139	Standing-Bottum	Standing-Bottum	3,533	2,394	-23,355	3,618	-22,732	2,573	Standing-Bottum	2,954	Standing-Bottum	-22,757	3,1710000000000003	0,0	not set	Standing-Bottum	not set	Standing-Bottum	3,033	0,833	2,9130000000000003	-23,198	not set	
18876588151	1,366	4,0	Current	1,366	-19,933	-19,933	[Standing-Top,-19.02178217821782,1.3213259303003178,0.9126579798534956, Standing-Top,-18.994059405940593,0.5574552711547154,1.2395163432909708, Empty,-23.851815181518155,2.2879078819587977,4.025411112497837, Empty,-24.112871287128737,2.0262457029801686,4.231325856105689, Empty,-24.736303630363032,2.6041005454230124,4.959916595791353, Empty,-24.24257425742575,3.8829602093398887,4.990324315263837]	1,0	Current,-19.933333333333334,1.3662601021279464	0,912	Standing-Top	-19,021	1,321	1,239	0,557	-18,994	Standing-Top	Empty	2,287	4,025	-23,851	2,0260000000000002	-24,112000000000002	4,231	Empty	4,9590000000000005	Empty	-24,736	2,604	0,0	not set	Empty	not set	Empty	4,99	0,666	3,882	-24,242	not set	
