window:30.0	alpha:0.2	knn:6.0	
time	StdDev	source	Datapoint Type	Datapoint Y	Datapoint X	power	Neighbores	destination	Datapoint	Neighbore(1) Distance	Neighbore(1) Type	Neighbore(1) X	Neighbore(1) Y	Neighbore(2) Distance	Neighbore(2) Y	Neighbore(2) X	Neighbore(2) Type	Neighbore(3) Type	Neighbore(3) Y	Neighbore(3) Distance	Neighbore(3) X	Neighbore(4) Y	Neighbore(4) X	Neighbore(4) Distance	Neighbore(4) Type	Neighbore(5) Distance	Neighbore(5) Type	Neighbore(5) X	Neighbore(5) Y	KNNTotalMissfired	KNNStateWeight	KNNState	KNNStateMissfired	Neighbore(6) Type	Neighbore(6) Distance	KNNConfidence	Neighbore(6) Y	Neighbore(6) X	null	
315488533	10,342	5,0	Current	10,342	-19,033	-19,033	[Empty,-20.654785478547858,2.5539425339673865,7.955517130545063, Empty,-21.579207920792083,2.6006401466444444,8.14968665933534, Empty,-21.254785478547856,2.246122184861315,8.395575184387235, Empty,-20.854455445544538,1.7782313599872646,8.75572118497884, Empty,-21.06468646864685,0.9913156416445124,9.569245852433635, Empty,-21.02970297029703,0.5440129332115439,9.999761726363923]	1,0	Current,-19.033333333333335,10.342469079802303	7,955	Empty	-20,654	2,553	8,149000000000001	2,6	-21,579	Empty	Empty	2,246	8,395	-21,254	1,778	-20,854	8,755	Empty	9,569	Empty	-21,064	0,991	0,0	not set	Empty	not set	Empty	9,999	1,0	0,544	-21,029	not set	
67770345915	12,774000000000001	5,0	Current	12,774000000000001	-10,4	-10,4	[Standing-Top,-11.14224422442244,10.748111011573728,2.158496304775438, Moving-Top,-10.3953795379538,15.05002400561541,2.2750531593888446, Standing-Top,-12.35511551155115,10.687079086096233,2.8603825369961515, Moving-Top,-13.534323432343239,15.96365252147172,4.471201659798426, Standing-Top,-13.899999999999999,9.512090676209137,4.78502012766909, Standing-Bottum,-15.102970297029701,10.093149905997738,5.413882002402994]	1,0	Current,-10.4,12.77497553813705	2,158	Standing-Top	-11,142	10,748000000000001	2,275	15,05	-10,395	Moving-Top	Standing-Top	10,687	2,86	-12,355	15,963000000000001	-13,534	4,471	Moving-Top	4,785	Standing-Top	-13,899000000000001	9,512	0,0	not set	Standing-Top	not set	Standing-Bottum	5,413	0,5	10,093	-15,102	not set	
25596888297	10,171	5,0	Current	10,171	-13,133000000000001	-13,133000000000001	[Standing-Top,-13.899999999999999,9.512090676209137,1.0114686601162908, Standing-Top,-13.158085808580852,2.141605375009335,8.030289372265084, Standing-Top,-12.031683168316835,1.6093342529842518,8.633100370595269, Standing-Top,-12.118481848184814,1.2950857794977624,8.93459477063312, Empty,-20.654785478547858,2.5539425339673865,10.7053658074824, Empty,-21.579207920792083,2.6006401466444444,11.342667945089396]	1,0	Current,-13.133333333333333,10.17185659880568	1,0110000000000001	Standing-Top	-13,899000000000001	9,512	8,03	2,141	-13,158	Standing-Top	Standing-Top	1,609	8,633000000000001	-12,031	1,295	-12,118	8,934000000000001	Standing-Top	10,705	Empty	-20,654	2,553	0,0	not set	Standing-Top	not set	Empty	11,342	0,666	2,6	-21,579	not set	
21842100309	6,418	5,0	Current	6,418	-14,6	-14,6	[Standing-Top,-15.19009900990098,7.833286654245946,1.5327127142572492, Standing-Top,-12.805280528052807,6.482432378071579,1.7958499149370903, Standing-Top,-12.8003300330033,6.87176145024405,1.8558168489740268, Standing-Top,-13.476237623762376,8.088715714925689,2.0128881822419578, Standing-Top,-12.499669966996702,7.070775096733949,2.1992177444071928, Standing-Top,-13.899999999999999,9.512090676209137,3.171580988421198]	1,0	Current,-14.6,6.418722614352485	1,532	Standing-Top	-15,19	7,833	1,795	6,482	-12,805	Standing-Top	Standing-Top	6,871	1,855	-12,8	8,088000000000001	-13,476	2,012	Standing-Top	2,199	Standing-Top	-12,499	7,07	0,0	not set	Standing-Top	not set	Standing-Top	3,1710000000000003	1,0	9,512	-13,899000000000001	not set	
57284763464	1,366	5,0	Current	1,366	-14,933	-14,933	[Standing-Bottum,-14.811881188118804,2.144247501666433,0.7874103234133192, Standing-Bottum,-15.390429042904291,2.5281112937239714,1.248533010825617, Standing-Bottum,-14.910891089108912,3.0927921259393987,1.7266778748719456, Standing-Top,-13.158085808580852,2.141605375009335,1.9371794099461537, Standing-Top,-12.515841584158414,2.5135827437299043,2.6759326600759796, Standing-Top,-12.193729372937291,1.1742285651499083,2.7463259040055368]	1,0	Current,-14.933333333333334,1.3662601021279464	0,787	Standing-Bottum	-14,811	2,144	1,248	2,528	-15,39	Standing-Bottum	Standing-Bottum	3,092	1,726	-14,91	2,141	-13,158	1,937	Standing-Top	2,6750000000000003	Standing-Top	-12,515	2,513	0,0	not set	Standing-Bottum	not set	Standing-Top	2,746	0,5	1,174	-12,193	not set	
37099902660	2,422	5,0	Current	2,422	-11,933	-11,933	[Standing-Top,-12.515841584158414,2.5135827437299043,0.5896450152008513, Standing-Top,-12.031683168316835,1.6093342529842518,0.8187147373059442, Standing-Top,-12.118481848184814,1.2950857794977624,1.142141298291442, Standing-Top,-13.158085808580852,2.141605375009335,1.256466171206331, Standing-Top,-13.899999999999999,9.512090676209137,7.3576802016952305, Standing-Top,-12.35511551155115,10.687079086096233,8.275714121339913]	1,0	Current,-11.933333333333334,2.4221202832779936	0,589	Standing-Top	-12,515	2,513	0,8180000000000001	1,609	-12,031	Standing-Top	Standing-Top	1,295	1,1420000000000001	-12,118	2,141	-13,158	1,256	Standing-Top	7,357	Standing-Top	-13,899000000000001	9,512	0,0	not set	Standing-Top	not set	Standing-Top	8,275	1,0	10,687	-12,355	not set	
76650811705	8,542	5,0	Current	8,542	-6,633	-6,633	[Standing-Top,-10.51683168316832,5.740219224232142,4.788719142493197, Standing-Top,-10.748514851485153,5.699926191162798,5.001240125926156, Standing-Top,-11.14224422442244,10.748111011573728,5.019658364298525, Moving-Top,-9.33762376237624,12.784630543699638,5.031168087403056, Standing-Bottum,-11.144554455445546,4.977397167112401,5.749598773481548, Standing-Bottum,-10.730363036303633,4.265476673425185,5.922394453948369]	1,0	Current,-6.633333333333334,8.542052836799048	4,788	Standing-Top	-10,516	5,74	5,001	5,699	-10,748000000000001	Standing-Top	Standing-Top	10,748000000000001	5,019	-11,142	12,784	-9,337	5,031	Moving-Top	5,7490000000000006	Standing-Bottum	-11,144	4,977	0,0	not set	Standing-Top	not set	Standing-Bottum	5,922	0,5	4,265	-10,73	not set	
80222193670	7,833	5,0	Current	7,833	-11,233	-11,233	[Standing-Top,-12.499669966996702,7.070775096733949,1.478392528697835, Standing-Top,-12.8003300330033,6.87176145024405,1.838690082451663, Standing-Top,-12.805280528052807,6.482432378071579,2.0728988310467416, Standing-Top,-10.748514851485153,5.699926191162798,2.1881471935893932, Standing-Top,-10.51683168316832,5.740219224232142,2.2126874742363793, Standing-Top,-11.14224422442244,10.748111011573728,2.915846205417964]	1,0	Current,-11.233333333333333,7.833687935236293	1,478	Standing-Top	-12,499	7,07	1,838	6,871	-12,8	Standing-Top	Standing-Top	6,482	2,072	-12,805	5,699	-10,748000000000001	2,188	Standing-Top	2,212	Standing-Top	-10,516	5,74	0,0	not set	Standing-Top	not set	Standing-Top	2,915	1,0	10,748000000000001	-11,142	not set	
62303873377	6,4	5,0	Current	6,4	-12,366	-12,366	[Standing-Top,-12.805280528052807,6.482432378071579,0.4461968444902395, Standing-Top,-12.8003300330033,6.87176145024405,0.6404152202290092, Standing-Top,-12.499669966996702,7.070775096733949,0.6833232645769874, Standing-Bottum,-13.963036303630359,5.7500665592899205,1.7238000907510505, Standing-Top,-10.748514851485153,5.699926191162798,1.7633060199297894, Standing-Bottum,-13.876567656765662,5.257400203724032,1.8938124841949016]	1,0	Current,-12.366666666666667,6.400520812142295	0,446	Standing-Top	-12,805	6,482	0,64	6,871	-12,8	Standing-Top	Standing-Top	7,07	0,683	-12,499	5,75	-13,963000000000001	1,723	Standing-Bottum	1,7630000000000001	Standing-Top	-10,748000000000001	5,699	0,0	not set	Standing-Top	not set	Standing-Bottum	1,893	0,666	5,257	-13,876	not set	
18876588151	2,19	5,0	Current	2,19	-12,8	-12,8	[Standing-Top,-12.031683168316835,1.6093342529842518,0.9635964447186561, Standing-Top,-12.118481848184814,1.2950857794977624,1.1255810076712498, Standing-Top,-13.899999999999999,9.512090676209137,7.403375984864628, Empty,-20.654785478547858,2.5539425339673865,7.8631712361748365, Empty,-20.854455445544538,1.7782313599872646,8.065019520576456, Empty,-21.06468646864685,0.9913156416445124,8.35128862021378]	1,0	Current,-12.8,2.1908902300206643	0,963	Standing-Top	-12,031	1,609	1,125	1,295	-12,118	Standing-Top	Standing-Top	9,512	7,4030000000000005	-13,899000000000001	2,553	-20,654	7,863	Empty	8,065	Empty	-20,854	1,778	0,0	not set	Empty	not set	Empty	8,351	0,5	0,991	-21,064	not set	
