window:30.0	alpha:0.2	knn:6.0	
time	StdDev	source	Datapoint Type	Datapoint Y	Datapoint X	power	Neighbores	destination	Datapoint	Neighbore(1) Distance	Neighbore(1) Type	Neighbore(1) X	Neighbore(1) Y	Neighbore(2) Distance	Neighbore(2) Y	Neighbore(2) X	Neighbore(2) Type	Neighbore(3) Type	Neighbore(3) Y	Neighbore(3) Distance	Neighbore(3) X	Neighbore(4) Y	Neighbore(4) X	Neighbore(4) Distance	Neighbore(4) Type	Neighbore(5) Distance	Neighbore(5) Type	Neighbore(5) X	Neighbore(5) Y	KNNTotalMissfired	KNNStateWeight	KNNState	KNNStateMissfired	Neighbore(6) Type	Neighbore(6) Distance	KNNConfidence	Neighbore(6) Y	Neighbore(6) X	null	
45881976228	5,671	5,0	Current	5,671	-5,166	-5,166	[Empty,-5.058085808580859,5.741725574124539,0.12927527665289285, Empty,-5.152145214521453,5.84834819362898,0.17737710272809115, Empty,-4.935643564356437,5.570596379815689,0.25212425666766364, Empty,-5.025742574257424,5.441448693253236,0.26984033977901734, Empty,-4.905280528052809,5.754229095402854,0.2741456121128114, Empty,-5.149174917491743,5.342396278417398,0.3296346493150976]	2,0	Current,-5.166666666666667,5.671566509057851	0,129	Empty	-5,058	5,7410000000000005	0,177	5,848	-5,152	Empty	Empty	5,57	0,252	-4,9350000000000005	5,441	-5,025	0,269	Empty	0,274	Empty	-4,905	5,7540000000000004	0,0	not set	Empty	not set	Empty	0,329	1,0	5,3420000000000005	-5,149	not set	
16554633925	7,8420000000000005	5,0	Current	7,8420000000000005	-4,5	-4,5	[Standing-Top,-4.635643564356437,8.008905960039808,0.21492370115389348, Standing-Top,-4.64686468646865,8.004834454140962,0.2191376122549535, Standing-Top,-4.761386138613865,7.668946179831543,0.3135879013848265, Empty,-4.846864686468645,6.587955303155669,1.3013180788873537, Empty,-4.929702970297027,6.336995614607678,1.5653324022850734, Empty,-5.1488448844884465,5.940897758994061,2.008961285753847]	2,0	Current,-4.5,7.842193570679061	0,214	Standing-Top	-4,635	8,008000000000001	0,219	8,004	-4,646	Standing-Top	Standing-Top	7,668	0,313	-4,761	6,587	-4,846	1,301	Empty	1,565	Empty	-4,929	6,336	0,0	not set	Empty	not set	Empty	2,008	0,5	5,94	-5,148	not set	
61619411054	7,737	5,0	Current	7,737	-4,933	-4,933	[Standing-Top,-4.798349834983497,7.635186639393831,0.16928961907845244, Standing-Top,-4.761386138613865,7.668946179831543,0.1850557813393973, Standing-Top,-4.9105610561056094,7.499177702252542,0.23926373154892336, Standing-Top,-4.650495049504952,7.90147009551548,0.32700331617830364, Standing-Top,-4.64686468646865,8.004834454140962,0.3919303463480815, Standing-Top,-4.635643564356437,8.008905960039808,0.4029379264468468]	2,0	Current,-4.933333333333334,7.73735527597555	0,169	Standing-Top	-4,798	7,635	0,185	7,668	-4,761	Standing-Top	Standing-Top	7,4990000000000006	0,23900000000000002	-4,91	7,901	-4,65	0,327	Standing-Top	0,391	Standing-Top	-4,646	8,004	0,0	not set	Standing-Top	not set	Standing-Top	0,402	1,0	8,008000000000001	-4,635	not set	
84854396375	7,704	5,0	Current	7,704	-4,766	-4,766	[Standing-Top,-4.761386138613865,7.668946179831543,0.0364154599441262, Standing-Top,-4.798349834983497,7.635186639393831,0.07664517093515853, Moving-Top,-4.849834983498347,7.676887140247269,0.0877837964170187, Standing-Top,-4.890099009900992,7.748022429965519,0.13072289090676767, Standing-Bottum,-4.88349834983498,7.627622658603096,0.140118867865872, Standing-Top,-4.650495049504952,7.90147009551548,0.22826624975229567]	2,0	Current,-4.766666666666667,7.704976746666188	0,036000000000000004	Standing-Top	-4,761	7,668	0,076	7,635	-4,798	Standing-Top	Moving-Top	7,676	0,08700000000000001	-4,849	7,748	-4,89	0,13	Standing-Top	0,14	Standing-Bottum	-4,883	7,627	0,0	not set	Standing-Top	not set	Standing-Top	0,228	0,666	7,901	-4,65	not set	
92841880641	8,091	5,0	Current	8,091	-4,466	-4,466	[Standing-Top,-4.477227722772275,8.060680632847571,0.03224533115459386, Standing-Top,-4.458415841584158,7.95373299112636,0.13766191551054144, Standing-Top,-4.5735973597359765,8.196242389165041,0.14993039864121044, Standing-Top,-4.635643564356437,8.008905960039808,0.18792778040969776, Standing-Top,-4.662046204620461,8.064965003995933,0.19712605881674944, Standing-Top,-4.64686468646865,8.004834454140962,0.19980304157835488]	2,0	Current,-4.466666666666667,8.091147425839345	0,032	Standing-Top	-4,477	8,06	0,137	7,953	-4,458	Standing-Top	Standing-Top	8,196	0,149	-4,573	8,008000000000001	-4,635	0,187	Standing-Top	0,197	Standing-Top	-4,662	8,064	0,0	not set	Standing-Top	not set	Standing-Top	0,199	1,0	8,004	-4,646	not set	
85874009570	10,385	5,0	Current	10,385	-5,066	-5,066	[Moving-Bottum,-5.980858085808577,10.757772456497177,0.986936726952372, Moving-Bottum,-6.15643564356436,9.494593535224515,1.4078359274544723, Moving-Bottum,-5.860726072607259,8.935725153307452,1.6533306443959817, Moving-Bottum,-6.216831683168314,11.635425695363402,1.6983004339751542, Moving-Bottum,-6.218151815181517,11.668405012724417,1.7235916833898954, Moving-Bottum,-5.7267326732673265,8.614872434549698,1.8900218979460046]	2,0	Current,-5.066666666666666,10.385887861259944	0,986	Moving-Bottum	-5,98	10,757	1,407	9,494	-6,156	Moving-Bottum	Moving-Bottum	8,935	1,653	-5,86	11,635	-6,216	1,698	Moving-Bottum	1,723	Moving-Bottum	-6,218	11,668000000000001	0,0	not set	Moving-Bottum	not set	Moving-Bottum	1,8900000000000001	1,0	8,614	-5,726	not set	
39257340516	15,582	5,0	Current	15,582	-6,2	-6,2	[Moving-Bottum,-5.785478547854787,16.227672894076555,0.7672474492886577, Moving-Bottum,-6.154125412541252,12.414821017042508,3.167552138080168, Moving-Bottum,-6.605280528052802,12.307006877497988,3.3000152192478667, Moving-Bottum,-6.218151815181517,11.668405012724417,3.9136780265966244, Moving-Bottum,-5.980858085808577,10.757772456497177,4.829243173014573, Moving-Bottum,-6.15643564356436,9.494593535224515,6.087603289914679]	2,0	Current,-6.2,15.58204094462596	0,767	Moving-Bottum	-5,785	16,227	3,1670000000000003	12,414	-6,154	Moving-Bottum	Moving-Bottum	12,307	3,3000000000000003	-6,605	11,668000000000001	-6,218	3,9130000000000003	Moving-Bottum	4,829	Moving-Bottum	-5,98	10,757	0,0	not set	Moving-Bottum	not set	Moving-Bottum	6,087	1,0	9,494	-6,156	not set	
14259377328	8,197000000000001	5,0	Current	8,197000000000001	-4,4	-4,4	[Standing-Top,-4.64686468646865,8.004834454140962,0.3131861198142013, Standing-Top,-4.761386138613865,7.668946179831543,0.6403383167440733, Empty,-4.846864686468645,6.587955303155669,1.6704841515991395, Empty,-4.929702970297027,6.336995614607678,1.9344992502246212, Empty,-5.1488448844884465,5.940897758994061,2.377666060788648, Empty,-5.152145214521453,5.84834819362898,2.4666822685467666]	2,0	Current,-4.4,8.19756061276768	0,313	Standing-Top	-4,646	8,004	0,64	7,668	-4,761	Standing-Top	Empty	6,587	1,67	-4,846	6,336	-4,929	1,934	Empty	2,3770000000000002	Empty	-5,148	5,94	0,0	not set	Empty	not set	Empty	2,466	0,666	5,848	-5,152	not set	
78712537761	5,955	5,0	Current	5,955	-5,133	-5,133	[Empty,-5.1488448844884465,5.940897758994061,0.02122793043032012, Empty,-5.152145214521453,5.84834819362898,0.10868198717137979, Empty,-5.117821782178222,5.738328345022334,0.21761490502470685, Empty,-5.058085808580859,5.741725574124539,0.22652716262140268, Empty,-5.081188118811881,5.70977507209363,0.25108898140783076, Empty,-4.905280528052809,5.754229095402854,0.30409484898912287]	2,0	Current,-5.133333333333334,5.9553897157672795	0,021	Empty	-5,148	5,94	0,108	5,848	-5,152	Empty	Empty	5,738	0,217	-5,117	5,7410000000000005	-5,058	0,226	Empty	0,251	Empty	-5,081	5,7090000000000005	0,0	not set	Empty	not set	Empty	0,304	1,0	5,7540000000000004	-4,905	not set	
64311227215	8,453	5,0	Current	8,453	-4,466	-4,466	[Standing-Top,-4.5735973597359765,8.196242389165041,0.27886920091560774, Standing-Top,-4.477227722772275,8.060680632847571,0.3932571946577412, Standing-Top,-4.74884488448845,8.131629239122434,0.4282708990577652, Standing-Top,-4.635643564356437,8.008905960039808,0.4758994978835124, Standing-Top,-4.64686468646865,8.004834454140962,0.48377452228180107, Standing-Top,-4.458415841584158,7.95373299112636,0.5001310633248975]	2,0	Current,-4.466666666666667,8.453795991545258	0,278	Standing-Top	-4,573	8,196	0,393	8,06	-4,477	Standing-Top	Standing-Top	8,131	0,428	-4,748	8,008000000000001	-4,635	0,47500000000000003	Standing-Top	0,483	Standing-Top	-4,646	8,004	0,0	not set	Standing-Top	not set	Standing-Top	0,5	1,0	7,953	-4,458	not set	
